Timestamp start: 1715636041826
Timestamp end: 1715637062359

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      336.9   258.6   148.8   194.2   206.4   323.2   365.3   386.2   399.8   420.5   448.1   491.0   695.4  3751.7  9864.5  12046.0    12115
read      373.6   287.3   148.8   194.2   207.7   325.3   390.5   430.7   462.2   500.3   554.2   653.8  1414.8  2724.5 11075.6  80913.7    80921
read      338.1   593.7   160.7   200.9   215.9   306.1   333.5   347.5   359.3   371.1   390.0   427.1   672.0  8221.9 29761.5   7317.0     7321
read      374.6   296.9   148.8   193.1   206.3   324.1   388.3   428.6   460.8   500.7   558.3   667.5  1439.0  2741.4  8372.3  76135.3    76088
read      340.2   537.3   148.8   196.7   210.7   313.2   345.3   362.6   373.5   389.0   405.8   453.1   692.2  7711.4 28394.0   8857.6     8873
read      356.5   255.5   148.8   192.7   204.7   322.6   391.4   432.4   461.6   490.8   525.0   582.1   899.6  2448.8  9547.2  21293.0    21328
read      370.1   270.2   148.8   193.2   206.1   324.9   389.0   428.7   461.3   501.9   559.4   655.5  1244.4  2180.8  9025.7  64281.8    64305
read      372.4   245.5   148.8   194.4   207.5   330.2   397.1   438.5   472.4   513.2   571.2   659.9  1093.8  2293.5  7159.7  56721.5    56642
read      378.4   377.9   148.8   195.4   209.5   327.0   389.3   428.2   458.6   495.9   547.6   643.2  1506.1  3948.9 12166.4  93100.3    92888
read      354.5   417.9   148.8   193.0   204.9   326.2   377.5   402.2   424.6   450.3   480.6   529.2   862.7  5502.1 13451.4  14963.3    14904
read      349.5   303.8   148.8   192.4   203.9   320.9   383.9   416.7   442.2   469.8   500.2   547.2   822.6  3589.4 13092.7  18486.3    18449
read      369.9   281.7   148.8   193.2   205.9   327.7   394.5   441.6   478.4   517.3   566.2   635.7  1035.9  2394.2 10524.6  34046.9    33884
read      376.8   381.5   148.8   194.6   208.6   325.7   388.4   426.8   457.1   494.0   544.8   639.3  1458.1  3969.1 12989.1  92588.8    92722
read      373.1   293.5   148.8   193.3   206.8   323.8   387.5   426.9   458.3   497.0   549.7   649.5  1478.5  2741.1  9924.0  82492.6    82579
read      379.6   350.3   148.8   196.5   210.1   337.7   402.1   445.9   482.7   522.0   573.9   652.1   986.7  4039.2 12803.1  35826.9    35839
read      365.8   205.0   148.8   197.0   211.0   329.7   397.1   436.0   467.3   504.2   553.9   638.4   901.6  1853.5  6339.3  70545.2    70613
read      370.5   239.7   148.8   195.1   208.6   336.7   402.5   442.3   474.1   512.2   566.2   647.9   896.4  1723.2  9613.1  51638.3    51549
read      374.6   198.0   148.8   202.4   217.4   338.8   402.5   443.5   474.9   513.5   567.6   654.7   902.3  1851.0  6456.7  98055.2    98258
read      341.8   258.0   148.8   196.8   209.5   329.5   371.8   392.7   406.8   428.7   458.4   503.6   697.7  2199.1  9338.3  12103.5    12090
read      389.0   274.0   148.8   196.3   209.7   345.0   416.2   464.1   499.4   543.3   600.9   690.3  1171.6  2263.7  9061.9  39296.0    39469
read      388.7   373.8   148.8   198.2   212.8   336.8   404.5   447.6   479.7   519.2   575.0   670.6  1442.5  3986.1  9025.6  88661.5    88749
read      388.6   333.4   148.8   200.3   215.4   340.2   408.1   451.8   484.2   524.0   580.3   677.8  1185.7  3117.7 11852.6  92081.9    92044
read      394.9   427.1   148.8   198.6   213.4   338.9   407.7   451.7   484.3   524.4   580.9   680.9  1480.2  4144.5 15073.9  88874.1    88859
read      382.6   274.1   148.8   194.7   207.8   339.9   407.5   455.9   492.4   534.9   589.4   673.4  1122.5  2565.3  9189.7  35912.6    35922
read      383.2   313.9   148.8   194.9   208.1   340.5   409.0   455.7   490.8   533.7   589.6   675.3  1099.1  2237.4 10075.7  39400.8    39309
read      388.6   353.9   148.8   196.7   210.1   334.1   404.0   449.0   482.5   522.7   581.1   683.2  1401.8  3538.9 12042.0  69566.7    69530
read      399.6   445.8   148.8   201.0   215.6   341.6   409.5   453.4   487.1   529.0   587.7   690.7  1526.2  4503.2 19777.4  89776.5    89673
read      386.6   243.0   148.8   196.8   210.0   344.8   415.7   462.1   497.4   540.9   598.9   686.0  1131.6  2047.7  7973.0  40307.8    40244
read      395.9   376.1   148.8   202.6   217.5   341.4   407.1   450.7   483.7   524.1   580.6   682.2  1529.2  3974.4 12364.9  95463.1    95353
read      374.5   327.0   148.8   196.9   210.1   333.3   402.5   448.3   484.0   518.5   560.3   625.9   953.8  3709.5 11625.6  25906.3    25846
read      353.6   209.0   148.8   196.2   210.0   321.6   382.5   418.4   445.7   481.1   528.3   605.1   796.9  1855.0  7508.2  91205.6    91281
read      352.3   184.4   148.8   194.4   207.8   322.4   386.2   421.7   449.1   484.8   531.6   606.5   793.7  1566.6  6981.6  76916.6    77000
read      396.5   429.5   148.8   197.9   211.5   345.5   417.4   463.5   498.8   541.1   599.3   694.1  1187.7  4024.2 15017.4  43085.4    43033
read      394.4   426.9   148.8   196.8   210.2   339.7   408.4   454.4   492.4   536.6   595.9   696.5  1270.0  4361.0 13166.3  42090.7    42099
read      364.4   311.0   148.8   196.4   209.4   330.1   395.3   429.4   458.5   491.1   528.2   587.6   901.2  4221.0 12020.5  21357.8    21434
read      386.0   366.1   148.8   197.4   210.9   340.6   410.5   455.9   492.0   532.1   584.5   672.0  1051.1  3600.0 10850.3  35608.5    35634
read      394.2   354.9   148.8   197.2   210.6   341.5   412.7   459.0   496.0   540.7   601.8   709.3  1271.8  3677.4 10445.9  44824.1    44841
read      389.2   428.1   148.8   197.3   210.5   337.2   409.8   458.6   495.8   535.2   584.3   669.1  1125.3  4379.4 16507.6  30452.8    30509
read      418.7   500.8   148.8   202.8   218.1   349.1   420.5   465.9   501.3   546.4   614.9   753.0  1678.8  5258.5 25922.3  89899.8    89927
read      394.8   416.2   148.8   195.8   208.9   336.4   407.0   456.4   495.5   540.0   597.4   694.2  1301.3  4557.6 14763.7  36430.4    36492
read      393.4   516.2   148.8   196.1   209.2   333.8   406.7   457.3   495.0   534.7   584.3   675.9  1182.8  5231.9 29678.5  30174.0    30163
read      357.4   197.5   148.8   194.5   208.2   329.6   394.1   429.0   456.9   492.2   538.3   615.0   790.5  1509.4  7576.3  64606.3    64595
read      342.4   152.0   148.8   194.6   208.0   316.1   376.3   410.6   435.5   467.9   510.0   579.0   722.5  1087.1  4776.9  88488.8    88375
read      347.9   174.6   148.8   193.8   207.1   320.0   383.5   418.6   444.7   478.8   524.0   593.0   750.8  1200.4  6836.8  75918.9    75938
read      356.7   195.6   148.8   194.7   208.4   331.4   395.3   429.4   457.4   493.1   538.8   611.8   766.1  1218.4  4905.0  55179.3    55268
read      348.5   164.5   148.8   194.9   208.4   320.5   383.7   419.3   445.9   480.8   526.7   595.6   748.2  1110.0  4849.2  81575.4    81798
read      362.3   210.4   148.8   202.5   216.1   335.6   403.1   437.1   467.5   500.8   537.1   588.5   717.5  1520.3  8660.6  25787.5    25769
read      355.5   194.5   148.8   194.7   208.2   331.3   394.0   428.6   458.1   494.6   536.9   598.8   733.1  1233.0  7553.5  34656.1    34640
read      355.3   171.5   148.8   193.7   207.3   328.8   393.8   429.0   457.2   492.4   537.8   613.6   778.7  1197.8  5196.9  64686.2    64780
read      352.4   187.7   148.8   192.8   206.4   324.1   389.3   425.0   452.6   487.6   533.3   607.8   774.7  1220.1  6418.5  69445.7    69381
read      357.3   178.5   148.8   193.6   207.3   331.2   396.1   430.7   459.2   495.4   541.5   618.1   779.9  1205.5  5367.3  56097.1    56218
read      319.4   335.5   160.7   210.5   229.6   305.6   327.4   339.3   346.7   358.7   370.9   394.8   513.8  4708.3 12947.2   5969.6     6013
read      359.1   204.6   148.8   196.5   210.3   333.4   396.7   431.0   460.6   496.9   538.6   600.2   743.8  1281.5  8475.9  32793.1    32846
read      349.8   252.2   148.8   195.0   208.3   325.2   390.2   421.7   443.4   472.3   508.0   554.0   674.8  1729.7 10653.9  23555.9    23509
read      358.3   177.9   148.8   193.9   207.7   333.8   397.3   431.0   459.2   495.1   540.8   615.0   778.1  1287.9  6123.0  49890.7    50047
read      345.0   266.1   148.8   196.3   209.5   328.1   388.2   415.6   433.0   458.1   489.7   534.0   631.6  1343.4 12346.3  19976.5    19955
read      354.6   181.7   148.8   193.1   206.6   326.6   392.1   427.7   455.5   490.9   537.8   615.7   784.6  1254.2  6945.3  67760.4    67822
read      349.6   175.9   148.8   191.9   205.2   321.1   386.3   422.4   449.6   484.3   530.5   604.1   763.3  1196.7  6664.6  73031.4    73193
read      347.8   180.5   148.8   196.2   210.3   319.9   379.6   414.7   440.7   474.2   520.1   590.6   740.2  1103.7  6664.8  96453.4    96401
read      354.4   179.8   148.8   193.4   207.1   328.9   393.3   428.2   455.4   490.0   535.7   609.6   765.7  1109.1  6586.4  63061.3    63076
