Random waveform, random seed
Total number of intervals = 102 (77053, 82970, 63094, 41743, 22613, 89818, 13671, 17747, 14890, 66655, 39205, 24638, 21214, 44734, 29246, 46643, 11973, 69557, 77313, 84697, 11987, 10079, 61270, 59992, 60431, 24810, 62614, 46241, 90748, 49663, 30061, 60601, 42340, 87149, 88964, 89474, 27220, 92667, 94667, 83364, 26131, 30979, 96543, 76635, 81252, 70713, 20387, 14165, 45451, 15697, 52522, 11907, 91299, 93293, 73526, 85414, 88912, 67285, 70397, 28982, 62086, 97402, 74968, 94414, 6223, 52105, 29188, 21498, 70302, 54326, 22161, 97026, 19508, 70274, 59426, 40889, 16000, 10585, 11047, 84272, 85849, 86958, 97650, 63006, 84510, 11455, 94985, 20140, 50886, 62651, 96124, 65765, 79500, 73496, 57116, 80770, 31456, 43615, 35687, 87904, 37570, 92107)
Average QPS expected = 55766
Timestamp start: 1715638203507
Timestamp end: 1715639224030

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      364.4   228.0   148.8   194.2   207.4   326.9   396.1   435.5   464.0   505.9   552.1   623.1   940.1  2082.6  7943.6  27217.0    27220
read      384.0   321.3   148.8   198.0   212.9   332.4   396.7   435.8   466.6   507.8   565.6   667.2  1521.5  3341.2 12352.6  92725.6    92667
read      373.5   276.0   148.8   196.5   210.7   324.6   385.5   422.1   450.6   488.1   543.3   644.9  1546.8  2742.5  7479.0  94537.7    94667
read      383.0   339.3   148.8   195.2   209.5   328.9   394.8   435.3   466.5   507.7   565.0   668.5  1538.7  3246.2  8961.0  83271.7    83364
read      367.9   433.6   148.8   192.6   205.4   322.7   393.0   432.9   461.8   501.6   546.2   616.7   973.3  4459.3 17527.4  26136.4    26131
read      370.4   296.7   148.8   193.6   206.7   327.8   396.5   437.2   469.4   516.8   568.4   642.3  1020.4  2463.4  9719.0  31031.6    30979
read      381.9   325.5   137.8   196.8   211.8   330.9   394.7   433.5   464.4   504.9   561.8   665.7  1473.2  3004.6 11676.8  96517.6    96543
read      374.9   281.7   148.8   193.8   207.4   324.1   389.8   428.8   459.1   499.9   557.8   663.8  1455.6  2891.2  7518.2  76742.2    76635
read      384.9   375.8   137.8   196.3   210.5   330.9   397.2   436.7   467.5   508.8   568.1   680.2  1576.4  2955.8  7515.4  81454.8    81252
read      379.1   270.7   148.8   194.4   207.9   328.5   395.8   435.5   466.9   509.7   571.6   680.4  1430.6  2634.9  8628.0  70744.6    70713
read      354.1   246.9   148.8   194.1   206.5   324.7   391.8   425.6   449.6   478.3   518.8   575.0   828.7  2283.8  9958.0  20272.4    20387
read      345.2   324.2   148.8   194.4   206.6   326.2   375.7   400.1   417.3   435.3   463.1   516.5   794.3  3868.1 12382.6  14229.5    14165
read      374.5   346.5   148.8   193.9   207.1   329.8   395.9   436.1   468.0   514.1   571.0   655.7  1065.1  2729.7 10210.6  45450.4    45451
read      349.1   266.9   148.8   194.5   206.7   330.5   386.1   413.4   431.1   453.8   484.0   537.6   800.4  2162.7 12201.6  15718.4    15697
read      375.5   264.7   148.8   194.8   208.2   332.4   399.3   439.1   470.6   516.3   575.8   669.9  1094.1  2532.3  8462.5  52523.9    52522
read      339.3   354.3   148.8   195.3   208.3   320.9   363.0   384.7   399.0   416.7   436.5   484.1   693.4  4713.2 13027.5  11891.9    11907
read      379.4   365.1   148.8   197.2   211.6   328.0   390.4   427.6   457.1   496.0   549.9   652.9  1519.1  3045.2 11598.5  91292.2    91299
read      386.9   338.0   148.8   199.4   214.1   333.0   396.3   434.8   466.1   506.7   563.9   671.2  1581.7  3142.8 10155.4  93284.6    93293
read      383.0   315.0   137.8   196.0   209.8   331.2   399.4   439.9   471.5   515.8   576.0   682.1  1387.5  2955.6 12932.7  73493.7    73526
read      378.9   358.2   148.8   196.2   210.4   327.6   393.1   431.7   462.0   501.6   555.5   654.2  1368.8  3785.0 13283.9  85382.7    85414
read      381.4   307.2   148.8   197.1   211.5   330.0   394.2   432.7   463.3   503.1   559.0   664.6  1561.5  2797.0  8040.3  88902.5    88912
read      381.6   261.1   148.8   195.5   209.2   332.2   399.7   440.2   472.1   517.6   580.5   688.6  1351.3  2543.3  8714.0  67288.4    67285
read      383.3   292.0   148.8   197.1   211.1   330.9   398.8   439.5   471.8   516.5   578.5   691.8  1439.7  2521.8  8719.4  70461.4    70397
read      372.0   346.0   148.8   194.3   207.4   326.8   396.7   436.9   469.2   511.7   558.3   631.5  1031.1  4042.0 11369.2  28990.1    28982
read      374.6   298.2   148.8   196.6   210.4   335.5   401.3   438.9   467.8   508.0   563.6   655.6   972.9  2810.2 10086.8  62064.4    62086
read      373.5   213.2   148.8   203.3   219.1   338.1   400.7   439.2   470.0   510.1   564.6   650.8   885.8  1752.9  7829.9  97469.1    97402
read      364.5   225.4   148.8   195.1   209.0   328.3   395.1   434.3   464.7   504.4   556.5   641.5   872.7  1857.5  7634.6  74921.7    74968
read      372.2   247.5   148.8   200.2   215.3   334.2   398.6   437.1   468.0   507.9   562.2   649.9   924.5  2148.8  8263.0  94575.7    94414
read      335.3   488.8   148.8   211.7   230.5   308.8   333.5   346.0   357.4   369.3   387.0   418.2   602.9  8068.4 20139.5   6234.7     6223
read      391.5   273.8   148.8   197.4   211.2   343.5   414.9   458.6   494.8   540.5   604.4   703.4  1249.3  2711.7  8082.5  52067.0    52105
read      379.3   297.2   148.8   195.4   208.9   335.0   404.5   449.6   488.9   532.0   581.8   656.4  1051.6  3122.1  9561.9  29279.3    29188
read      372.0   286.0   148.8   195.0   208.2   332.7   400.9   438.7   473.1   509.5   550.0   622.2  1004.5  4397.9  9756.8  21493.1    21498
read      390.6   317.7   148.8   195.2   209.2   335.7   406.3   449.4   484.5   528.9   590.0   698.7  1476.3  3089.8  9256.0  70170.0    70302
read      386.6   278.1   148.8   195.4   209.2   339.3   411.0   453.9   489.1   534.1   596.4   693.0  1225.0  2443.4  8638.7  54381.2    54326
read      365.9   259.4   148.8   194.8   207.8   329.1   398.1   435.2   469.3   505.7   545.5   610.9   958.5  2275.8  9595.4  22122.2    22161
read      398.4   325.0   148.8   203.4   219.7   345.8   413.7   456.5   490.5   532.6   589.9   690.3  1504.6  3334.9 10092.6  97011.9    97026
read      370.6   454.0   148.8   195.9   208.9   330.2   396.4   430.5   460.5   495.8   535.6   598.1   941.0  4971.5 15751.9  19580.5    19508
read      398.2   340.1   148.8   197.8   211.8   340.6   412.2   456.5   492.0   536.3   598.4   710.3  1521.1  3698.5  9461.1  70290.7    70274
read      397.2   313.6   148.8   198.5   212.4   342.5   414.8   459.1   495.6   541.6   608.1   721.3  1412.5  3005.8 10153.4  59491.7    59426
read      379.7   257.8   148.8   197.0   210.7   339.9   406.2   447.0   482.3   527.6   584.3   670.1  1022.2  2550.2  8656.1  40916.2    40889
read      367.7   434.6   148.8   198.3   211.2   336.9   393.0   420.6   439.2   468.0   505.3   566.6   911.5  5093.6 22076.1  16036.2    16000
read      376.7   619.9   148.8   201.8   215.3   331.0   370.5   391.7   405.7   425.6   456.2   529.2  1236.4  8338.9 30554.4  10541.1    10585
read      356.6   451.6   148.8   202.3   215.8   333.2   372.3   392.7   406.0   424.0   448.2   503.3   790.5  5366.9 25132.3  11076.8    11047
read      395.0   383.9   148.8   197.7   212.6   335.7   402.9   444.2   477.0   520.3   582.2   706.5  1563.6  3814.2 12411.6  84284.4    84272
read      409.4   419.0   148.8   200.3   215.6   343.2   413.4   457.8   493.5   538.3   603.5   740.4  1676.2  4661.1 15447.5  85826.4    85849
read      417.5   418.8   148.8   200.0   215.5   346.1   417.6   463.2   499.8   545.7   615.5   760.5  1796.8  4459.8 10757.0  86927.7    86958
read      432.6   642.2   148.8   205.7   223.3   356.1   426.8   473.1   510.3   556.8   623.9   747.1  1689.7  8008.2 31453.3  97676.0    97650
read      406.7   437.4   148.8   196.4   210.5   339.6   411.8   457.4   494.1   540.5   610.7   738.7  1638.9  4650.9 14243.5  63195.6    63006
read      437.8   602.8   137.8   199.6   215.4   348.4   422.6   469.4   506.1   552.2   623.7   796.1  1909.3  6572.4 30375.4  84515.8    84510
read      343.6   393.7   148.8   198.5   211.9   326.6   365.7   385.5   398.5   414.8   434.0   481.6   704.1  4665.3 17264.9  11471.6    11455
read      342.3   163.7   148.8   194.6   208.7   315.6   373.2   407.3   432.7   465.3   509.0   580.0   723.3  1097.9  5721.9  94940.4    94985
read      343.4   231.3   148.8   195.8   209.0   325.8   386.0   414.1   431.8   455.1   485.2   531.4   632.2  1737.3 10520.7  20083.3    20140
read      360.1   183.5   137.8   194.3   208.6   334.5   398.2   432.7   460.7   497.2   544.9   623.3   783.6  1183.2  5788.7  50874.9    50886
read      359.8   250.4   137.8   196.3   210.7   327.6   392.8   428.9   457.2   493.5   541.6   620.2   794.5  1526.6 11572.2  62550.9    62651
read      343.6   164.6   148.8   196.0   210.2   316.5   374.5   408.2   433.6   466.3   510.1   581.2   725.4  1221.5  5464.7  96187.3    96124
read      353.5   171.9   137.8   193.2   207.2   326.5   390.4   425.4   452.6   487.9   534.8   610.9   771.5  1164.2  6288.6  65686.2    65765
read      348.1   171.3   148.8   193.2   207.2   319.0   382.6   418.7   445.3   479.0   526.0   598.5   750.6  1293.5  4877.0  79633.2    79500
read      350.1   180.1   148.8   192.6   206.3   322.1   385.7   420.9   447.5   482.3   529.4   604.0   759.1  1215.6  5920.8  73533.1    73496
read      358.5   188.9   137.8   194.3   208.4   331.8   396.0   430.8   459.4   496.1   543.8   622.5   783.5  1133.7  7039.4  57119.6    57116
read      348.9   173.6   148.8   193.5   207.5   320.4   383.1   419.1   446.0   480.7   527.1   600.2   747.8  1196.2  6436.4  80827.0    80770
read      352.0   217.2   148.8   193.6   207.4   326.1   388.0   422.0   448.0   483.7   526.8   586.1   719.5  1228.3  8774.9  31401.4    31456
read      359.0   189.1   148.8   193.4   207.3   332.5   396.0   431.1   461.1   499.6   546.6   620.8   773.2  1266.7  7194.2  43514.7    43615
read      356.9   238.5   148.8   193.8   207.6   329.4   391.4   426.5   456.3   494.4   539.2   604.7   742.3  1240.2 11673.5  35612.0    35687
read      344.0   167.8   148.8   192.6   206.4   315.5   376.7   412.2   437.5   471.9   518.6   590.8   738.2  1163.0  4402.1  87836.1    87904
read      355.5   182.1   148.8   193.5   207.3   330.6   392.4   427.4   456.6   494.0   539.0   605.3   737.4  1139.6  7790.1  37528.1    37570
read      344.7   195.2   137.8   193.6   207.6   315.5   374.6   409.5   434.9   469.1   515.2   587.7   737.3  1459.0  8085.0  91974.5    92107

Total QPS = 55768.3 (56883624 / 1020.0s)

Total connections = 64
Misses = 0 (0.0%)
Skipped TXs = 0 (0.0%)

RX 14050255622 bytes :   13.1 MB/s
TX          0 bytes :    0.0 MB/s
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 99.96%,48.99%,100.00%
