Random waveform, random seed
Total number of intervals = 102 (17573, 41825, 77893, 44578, 78214, 25689, 14820, 31039, 59316, 94206, 25304, 9802, 60856, 50517, 46730, 49446, 98356, 43714, 82312, 14354, 90232, 20600, 77342, 90176, 42627, 67594, 39229, 44380, 68960, 13177, 75944, 56960, 20787, 93844, 33786, 50193, 14584, 66222, 70385, 15582, 11769, 55906, 75035, 87991, 79692, 61456, 61218, 44380, 64017, 64174, 50845, 46882, 36311, 32978, 57289, 41392, 18147, 81577, 20810, 7977, 82298, 71545, 35803, 45535, 98588, 44589, 66230, 9494, 21573, 96002, 96759, 90412, 6149, 30839, 20941, 17331, 59595, 32643, 38587, 94188, 7482, 19854, 85931, 35926, 24370, 80984, 26656, 31205, 86697, 96543, 73355, 60999, 73081, 10342, 10718, 61699, 61888, 7655, 71147, 97914, 33662, 59692)
Average QPS expected = 50940
Timestamp start: 1715637127515
Timestamp end: 1715638148021

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      347.4   285.7   148.8   194.1   207.7   329.8   382.7   406.6   423.0   441.5   474.4   539.0   724.8  3982.1  9962.0  17532.4    17573
read      382.1   357.3   148.8   191.5   204.7   331.4   405.1   446.5   481.8   525.0   582.3   675.8  1167.1  4032.9 10934.4  41861.2    41825
read      358.8   214.1   148.8   191.0   204.4   319.1   387.1   428.7   463.0   505.9   561.1   645.1   841.6  1869.1  7731.9  77859.4    77893
read      363.2   211.8   148.8   190.0   202.8   326.2   397.9   436.7   470.0   510.4   563.5   643.9   874.4  1782.0  7987.5  44522.4    44578
read      357.2   227.8   137.8   189.2   201.7   313.6   379.3   420.8   453.9   497.2   551.1   640.1   956.2  2431.9  7608.9  78313.0    78214
read      384.6   399.3   148.8   189.2   201.5   326.0   401.8   448.1   490.2   536.5   600.8   730.9  1053.0  5252.5 13337.4  25775.9    25689
read      413.6   799.5   148.8   188.2   200.7   339.2   404.5   450.4   495.0   541.4   595.2   672.7  1129.5 10178.1 35160.9  14814.4    14820
read      364.5   293.1   148.8   190.5   203.3   326.3   394.3   430.6   463.0   504.4   553.6   631.1   915.2  3346.8 12278.5  30993.2    31039
read      358.7   200.6   137.8   190.4   203.8   324.8   395.0   433.3   464.1   503.9   554.6   637.0   821.6  1453.6  6766.3  59372.1    59316
read      341.8   187.2   137.8   190.4   203.7   311.6   370.9   406.1   433.1   468.2   518.0   593.2   747.9  1314.9  7557.1  94308.5    94206
read      393.6   408.9   137.8   193.3   207.2   335.5   409.0   453.4   494.3   541.0   602.3   723.5  1126.7  5105.7 14374.4  25332.1    25304
read      455.3  1212.7   148.8   194.5   212.1   340.1   394.1   427.9   465.3   504.2   545.1   613.9  2631.3 18289.7 38459.3   9793.6     9802
read      397.5   346.3   137.8   190.1   203.5   322.8   400.8   453.1   496.6   548.7   630.1   812.3  1515.6  3125.2  9047.4  60783.3    60856
read      381.1   353.8   137.8   190.9   203.9   331.8   408.4   454.1   490.6   534.3   592.3   682.2  1039.3  3523.2 13526.8  50670.5    50517
read      373.9   226.9   137.8   190.6   203.4   331.8   407.2   452.6   489.6   533.5   589.8   674.2   965.1  2044.4  8336.3  46918.4    46730
read      380.9   389.1   148.8   189.7   202.3   329.7   405.6   451.8   489.3   533.5   591.3   680.4  1067.9  3215.4 17641.5  49512.8    49446
