avg_qps, std_qps, avg_p95, std_p95
5002.6, 49.3, 516.0, 14.5
10037.9, 18.8, 664.1, 3.2
14981.8, 64.7, 793.4, 9.8
20042.1, 31.1, 891.8, 15.8
24972.8, 98.9, 969.4, 34.3
29964.7, 133.6, 1022.4, 41.4
35054.6, 42.0, 1039.9, 27.9
39947.0, 3.6, 1038.4, 15.1
44981.1, 122.2, 1092.8, 31.4
49979.1, 73.0, 1492.3, 480.9
49626.9, 282.4, 2330.1, 16.2
