avg_qps, std_qps, avg_p95, std_p95
5045.1, 15.9, 604.5, 6.5
10006.9, 53.8, 813.7, 18.6
15014.1, 46.5, 954.8, 10.0
19961.7, 90.2, 1071.4, 4.9
25052.7, 62.0, 1106.5, 18.6
29953.1, 41.9, 1204.0, 24.7
34982.4, 35.9, 1240.1, 44.3
39961.0, 92.8, 1230.0, 27.5
44633.9, 388.8, 2292.0, 336.7
45475.1, 274.0, 2532.0, 22.3
45926.5, 2487.9, 2518.5, 152.3
