avg_qps, std_qps, avg_p95, std_p95
5001.0, 30.7, 4050.4, 1.3
10024.9, 29.6, 3970.4, 8.8
14974.3, 24.4, 3668.1, 51.9
19961.0, 65.0, 3191.1, 23.2
25061.0, 39.3, 2953.7, 20.3
26244.0, 96.2, 6395.2, 36.6
26591.3, 182.0, 7154.7, 1187.4
26205.0, 464.4, 7039.3, 449.9
26069.0, 327.6, 6543.9, 252.0
26688.4, 294.6, 6406.6, 36.8
26850.2, 350.1, 6385.6, 31.9
