avg_qps, std_qps, avg_p95, std_p95
5011.6, 58.5, 4051.6, 0.5
9955.9, 37.7, 3971.9, 7.8
14978.0, 16.9, 3693.5, 29.0
19987.7, 73.9, 3187.5, 30.3
24999.6, 91.6, 2918.0, 9.7
26882.6, 73.8, 7055.7, 1039.8
26730.3, 316.9, 6319.1, 29.8
26757.3, 427.2, 7111.2, 1074.5
26516.3, 355.4, 6388.3, 41.5
27545.3, 725.6, 6271.3, 80.0
26431.5, 939.7, 6371.5, 55.2
