avg_qps, std_qps, avg_p95, std_p95
4988.1, 22.9, 514.6, 3.8
10014.4, 40.6, 659.9, 1.7
15002.6, 62.5, 801.4, 4.2
19996.2, 52.8, 909.6, 16.0
25048.9, 64.3, 963.4, 4.2
29935.6, 80.4, 1031.1, 23.9
34990.4, 49.5, 1059.3, 24.8
40056.9, 59.1, 1079.6, 15.7
44919.1, 32.1, 1112.1, 16.3
49655.5, 602.3, 1596.4, 525.5
50379.6, 682.1, 2270.3, 49.3
