Random waveform, random seed
Total number of intervals = 320 (80170, 22185, 28449, 47094, 77010, 28408, 17289, 13509, 37265, 95921, 71931, 65505, 90913, 68005, 22433, 23728, 16617, 18496, 59540, 60929, 43428, 36590, 52762, 49896, 57929, 65071, 12781, 54188, 74019, 97048, 14221, 39639, 10165, 79916, 25296, 57008, 71828, 46055, 6160, 29488, 16328, 15697, 44330, 79992, 66651, 54611, 70731, 38642, 56840, 92798, 24054, 81583, 21624, 9087, 20228, 7436, 97400, 29614, 55418, 38730, 25304, 9885, 35417, 15156, 81769, 18088, 53079, 69270, 85432, 22068, 60363, 16061, 93933, 96648, 30474, 66425, 70240, 60410, 55868, 7720, 27143, 34010, 13048, 90556, 53631, 28408, 16107, 94730, 93084, 71818, 62439, 51719, 14820, 30488, 14711, 8365, 38629, 30653, 37223, 63812, 43048, 15374, 40647, 27084, 92997, 38550, 31525, 57170, 29094, 59614, 70715, 57048, 83872, 10453, 78595, 67169, 32865, 56042, 72638, 79975, 76162, 25917, 54274, 14185, 90455, 65206, 90508, 14420, 53986, 13395, 32173, 27378, 88203, 39077, 57389, 17493, 28360, 68233, 49589, 29052, 98333, 33974, 76968, 84178, 20883, 84850, 15228, 51085, 94532, 92146, 83073, 70886, 77804, 71443, 35684, 41626, 58433, 80740, 97664, 10595, 93802, 84470, 93030, 30367, 71902, 64013, 89307, 63288, 71266, 10641, 13708, 54186, 53109, 87008, 96602, 24533, 59543, 25740, 26370, 53819, 55342, 99864, 20845, 26902, 72622, 88195, 96763, 58251, 60667, 8212, 31311, 63590, 5483, 52686, 99948, 11745, 30622, 76438, 92749, 54077, 27675, 40835, 51390, 83072, 53512, 29166, 26415, 52882, 75897, 39399, 57511, 64130, 63815, 90552, 93064, 28147, 93424, 89770, 46478, 91709, 56020, 83064, 21083, 29315, 56345, 40644, 84326, 41582, 68656, 38850, 39836, 76677, 30926, 53496, 46991, 66505, 76623, 67318, 60709, 47272, 36136, 33362, 48156, 78492, 34081, 74837, 82809, 13262, 70361, 89682, 97640, 86406, 40674, 9728, 48722, 81751, 98518, 8553, 68545, 63728, 56191, 15399, 81533, 43633, 52335, 94030, 26137, 43310, 39586, 68797, 20173, 40320, 48058, 35034, 33474, 33868, 96450, 31801, 33272, 61416, 47510, 43731, 82338, 77891, 97669, 98629, 75850, 99570, 22567, 85030, 8225, 62917, 15655, 95196, 49367, 94148, 95375, 19514, 78640, 63320, 43731, 95290, 7277, 87134, 25157, 6735, 9322, 67235, 98759, 71317, 7392, 36811, 68005, 9975, 19245, 23953, 5042, 54996, 72318, 16866)
Average QPS expected = 52243
Timestamp start: 1715642871306
Timestamp end: 1715643831926

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      352.9   226.3   148.8   201.7   214.2   321.1   380.2   413.9   438.4   469.7   516.9   586.1   750.8  2517.2  8789.9  80023.3    80170
read      369.3   262.8   148.8   204.5   217.6   338.4   412.4   448.5   474.1   508.2   542.6   600.8   798.9  1716.0 12687.2  22389.7    22185
read      362.6   212.3   148.8   202.4   214.9   324.8   404.9   448.4   479.6   517.3   550.5   598.0   734.8  1271.0  7904.3  28526.3    28449
read      374.3   220.0   148.8   202.8   216.1   332.5   401.3   443.2   479.6   526.3   576.7   653.2  1060.5  1534.0  7671.9  47000.7    47094
read      347.7   184.4   148.8   200.9   213.6   319.7   381.6   417.2   443.2   475.4   521.2   582.1   696.3  1439.0  7655.4  77365.7    77010
read      396.1   348.9   148.8   205.0   218.8   343.4   422.3   474.2   513.1   548.2   592.4   672.6  1122.1  3979.3 12099.8  28529.7    28408
read      361.1   262.8   148.8   203.5   215.7   341.4   405.0   433.4   455.7   480.8   509.7   547.5   728.6  2458.7 11679.1  17375.7    17289
read      403.3   544.9   160.7   206.3   219.9   353.8   408.0   435.5   462.3   496.8   543.7   630.0  1365.8  6616.3 25136.8  13565.7    13509
read      405.1   278.1   148.8   199.4   213.0   331.5   415.3   480.2   528.3   582.0   672.3   882.4  1192.2  2472.5  7760.3  37140.0    37265
read      357.7   193.1   148.8   206.9   221.2   328.1   387.2   422.1   449.5   484.2   529.5   594.7   741.4  1718.0  7768.7  96144.7    95921
read      356.9   235.7   148.8   199.3   212.0   321.0   383.0   419.9   448.8   487.9   539.3   612.8   819.9  2210.5  7905.5  71835.0    71931
read      362.8   265.5   148.8   199.5   212.3   324.5   386.3   423.4   454.0   496.2   549.3   627.2   881.6  2512.5 12247.4  65297.7    65505
read      347.4   226.6   148.8   200.5   213.0   314.9   372.1   404.9   431.0   464.2   508.8   578.2   742.6  2458.5  6456.4  90761.7    90913
read      362.3   204.6   148.8   201.7   214.0   326.3   390.7   428.7   459.9   500.6   549.5   627.1   827.1  2063.9  6204.3  68127.7    68005
read      375.0   296.4   148.8   201.1   213.1   329.1   411.6   454.0   484.4   516.8   550.3   625.8  1031.2  3239.0 12105.1  22315.7    22433
read      414.7   511.2   148.8   200.8   213.7   342.8   433.1   489.9   524.8   562.5   622.6   766.8  1121.5  8605.8 22652.9  23744.3    23728
read      402.4   433.6   160.7   198.8   212.2   354.5   426.9   469.0   500.4   538.5   596.7   695.1  1152.3  6005.2 15818.2  16668.3    16617
read      473.5  1047.9   148.8   198.1   212.3   365.9   453.7   506.1   546.8   605.7   678.3   779.7  1592.7 15830.3 36840.0  18370.0    18496
read      430.5   399.1   148.8   203.9   217.8   337.8   410.8   465.5   512.6   575.0   675.3  1068.3  1715.6  3552.9 10106.2  59443.7    59540
read      369.5   244.4   148.8   200.6   213.2   330.9   396.7   436.4   470.7   514.3   567.3   644.2   915.4  2018.1 10092.6  60891.0    60929
read      368.5   263.1   148.8   198.2   210.9   325.2   391.2   435.7   476.3   524.1   573.5   638.0   895.3  1944.0  8883.0  43590.0    43428
read      370.1   255.5   137.8   198.8   211.7   323.5   395.2   445.4   488.2   530.7   575.8   637.6   964.1  2651.2  6465.1  36615.0    36590
read      372.5   209.0   148.8   199.7   212.7   332.1   399.2   441.5   478.8   524.2   576.7   650.6  1018.2  2135.3  5169.7  52673.0    52762
read      370.3   205.3   148.8   200.1   212.8   333.2   398.1   440.6   479.2   526.1   579.1   649.3   875.7  1598.3  7765.3  49868.3    49896
read      359.4   199.8   148.8   198.4   211.1   323.5   385.2   424.2   457.8   502.6   554.8   629.9   816.5  1723.0  5368.4  57778.0    57929
read      358.0   212.2   148.8   199.0   211.8   323.8   385.8   423.0   454.0   495.7   545.7   618.5   791.9  1825.5  7681.1  65324.0    65071
read      365.3   322.0   160.7   206.8   220.5   345.6   394.2   418.1   433.7   458.6   493.6   549.3   721.3  4563.0 13325.1  12705.3    12781
read      422.5   362.5   148.8   203.0   216.6   330.0   403.4   463.0   517.2   584.8   715.7  1064.0  1494.6  2372.8 11045.4  54124.0    54188
read      354.0   231.3   148.8   201.2   214.0   321.6   384.8   421.2   448.5   483.7   531.4   595.7   742.5  1811.1  8114.4  73880.0    74019
read      343.7   194.9   148.8   205.2   218.9   317.2   372.8   405.3   430.6   462.2   504.4   569.3   687.0   924.8  7672.3  96991.7    97048
read      369.0   337.2   160.7   209.4   223.0   351.6   400.5   423.7   438.8   460.7   489.8   538.5   802.7  4267.6 14942.5  14065.0    14221
read      471.5   448.1   148.8   205.7   220.0   352.0   457.5   537.5   594.7   682.9   872.7  1170.6  1728.8  3855.1 14542.9  39786.0    39639
read      380.2   679.7   160.7   209.9   224.0   342.5   380.7   400.0   414.7   431.1   459.6   513.6   978.6  7918.0 31594.6  10289.7    10165
read      704.8  1138.8   160.7   239.6   269.8   429.3   532.2   639.6   805.8  1356.9  1581.4  1778.9  2897.3 16450.6 35294.2  79945.3    79916
