Random waveform, random seed
Total number of intervals = 320 (6934, 27571, 99947, 90608, 73009, 35021, 13352, 68902, 86105, 13134, 6345, 97733, 29944, 81741, 25463, 12344, 25930, 77531, 32667, 65842, 52422, 36365, 85641, 8859, 79286, 80845, 61122, 50190, 46820, 38810, 28042, 35961, 42416, 25927, 31385, 80340, 29977, 76697, 74340, 81364, 38978, 12587, 33956, 69624, 59126, 45026, 98538, 64683, 42042, 18342, 37986, 53727, 28836, 90500, 75315, 27970, 74864, 62754, 30680, 9845, 19742, 9853, 68579, 70923, 33200, 86244, 79364, 62435, 80906, 40945, 13091, 42293, 50561, 13246, 88660, 27273, 33616, 41609, 53006, 65609, 22102, 62289, 93279, 25719, 43538, 81970, 64041, 82603, 70495, 72424, 85276, 55936, 96322, 58004, 81490, 81517, 54983, 38976, 63927, 76081, 76983, 37371, 68206, 62606, 93651, 10643, 48607, 53157, 38574, 54825, 48703, 51830, 72193, 13695, 39233, 23461, 96860, 85257, 22788, 94465, 8851, 44301, 71932, 89580, 96807, 43753, 82535, 68416, 81172, 42972, 55803, 55070, 83452, 75899, 70120, 33455, 96916, 68328, 28224, 68049, 98679, 60505, 41279, 18583, 11462, 30012, 82608, 60594, 17380, 20518, 29158, 90592, 97106, 42124, 64312, 76712, 52731, 16167, 60851, 58041, 39276, 73750, 52633, 69430, 21217, 11093, 11543, 56832, 49537, 96169, 48968, 45952, 78973, 41656, 80717, 5503, 6581, 78964, 85062, 64172, 10655, 45736, 61537, 88500, 88880, 98310, 27396, 17493, 19991, 12243, 40706, 70294, 19667, 71538, 26217, 55557, 5649, 94043, 43788, 93773, 61666, 78496, 10473, 41874, 34343, 9615, 61662, 5883, 37330, 50941, 48158, 11243, 50621, 73989, 78132, 76745, 25468, 6884, 35034, 34679, 55030, 80891, 76630, 91765, 55035, 72147, 85505, 95589, 90924, 65070, 96153, 75359, 8498, 85395, 51210, 96879, 13397, 64750, 33564, 25118, 23708, 69832, 42083, 44109, 77718, 50865, 95540, 39099, 51978, 85016, 56425, 50773, 61533, 21685, 77747, 55571, 50244, 17804, 30304, 62001, 91788, 46132, 73028, 82921, 95132, 19744, 35630, 83024, 6824, 79066, 83830, 67685, 56997, 69696, 26485, 6755, 66046, 62606, 99379, 45522, 66031, 95017, 80261, 41673, 89719, 49339, 5644, 96736, 86736, 78918, 73777, 22891, 10289, 76441, 59665, 73451, 56178, 85077, 31439, 33965, 32758, 76278, 68795, 86607, 8065, 35279, 70060, 73271, 80730, 30956, 91013, 36655, 6833, 41114, 84193, 97214, 36721, 72652, 29282, 83918)
Average QPS expected = 54539
Timestamp start: 1715643875310
Timestamp end: 1715644836014

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      641.0   763.3   160.7   228.6   255.8   391.6   484.6   613.6   876.1  1319.9  1530.7  1727.0  2690.3  8912.5 29692.5  79016.0    79286
read      360.5   193.5   148.8   201.5   214.2   327.2   392.6   431.6   463.1   499.7   544.0   617.4   776.5  1740.1  8181.1  80972.0    80845
read      372.4   224.6   148.8   202.7   215.6   337.9   405.8   447.5   481.6   521.5   570.6   641.4   797.8  1954.4  8337.7  61585.7    61122
read      369.2   184.6   148.8   202.7   215.7   338.4   403.8   444.3   480.3   521.4   567.8   634.5   765.1  1476.2  6334.8  50369.7    50190
read      379.8   271.5   148.8   202.9   216.2   342.5   411.1   454.8   491.9   531.3   576.4   642.5   817.0  3591.5  9491.7  46710.0    46820
read      379.7   311.8   148.8   201.4   214.4   336.6   407.6   454.1   494.3   533.0   574.3   634.9   905.7  3511.7 10195.1  38700.0    38810
read      406.2   370.9   148.8   206.1   220.1   351.7   437.2   496.5   530.1   566.6   614.7   692.6  1083.2  4765.2 12719.2  28037.0    28042
read      393.1   353.5   160.7   203.6   217.2   346.3   419.0   470.2   508.0   545.6   592.0   662.1  1046.1  4194.2  9991.7  35734.0    35961
read      387.6   437.1   148.8   201.8   214.5   339.8   408.9   457.9   497.9   538.8   588.0   658.4   941.2  3766.4 13499.7  42465.7    42416
read      390.0   327.6   160.7   202.5   215.5   336.1   428.3   486.2   521.0   553.4   591.0   652.2  1030.0  4828.5  9531.7  26164.0    25927
read      415.9   627.9   148.8   202.9   215.9   341.7   426.6   490.2   528.0   568.2   621.0   708.4  1148.6  8364.7 31249.6  31357.0    31385
read      392.8   294.9   148.8   206.7   221.2   341.2   410.4   454.7   488.6   529.0   583.8   678.0  1375.9  3391.7  8135.1  80157.7    80340
read      387.8   361.3   148.8   203.9   217.1   340.7   419.4   474.9   511.1   545.2   589.4   655.4   952.0  2339.4 13926.1  30148.0    29977
read      395.5   283.9   148.8   205.1   219.4   340.6   410.5   457.4   492.7   533.7   590.1   693.3  1531.2  2815.2  7984.7  76748.3    76697
read      391.5   381.3   148.8   205.5   219.7   340.7   412.8   457.8   491.5   530.5   581.9   667.8  1179.4  3945.6 14215.1  74437.3    74340
read      390.2   253.8   148.8   205.3   220.5   344.8   414.9   459.2   493.1   533.6   587.1   675.1  1166.3  2811.5  8064.8  81510.7    81364
read      395.9   468.5   148.8   200.9   215.0   344.4   417.8   470.5   508.3   549.2   600.7   672.7  1029.2  3744.9 30509.5  39025.7    38978
read      399.4   650.4   160.7   204.1   217.3   352.2   405.3   436.5   463.5   493.5   532.7   602.4   882.4 12244.5 28885.4  12520.0    12587
read      462.6   750.8   148.8   203.6   217.1   346.0   436.7   506.3   552.0   610.4   705.8   981.3  1694.8  8375.9 32492.4  33818.3    33956
read      397.8   384.6   160.7   204.2   217.7   342.2   416.0   463.2   497.8   538.0   592.9   681.8  1396.4  4006.1 15494.0  69548.3    69624
read      385.7   288.1   148.8   202.8   215.7   340.2   410.8   456.9   492.5   533.2   586.5   667.5  1013.2  3883.7  9537.6  59033.3    59126
read      393.2   406.9   148.8   203.2   216.3   347.0   417.5   467.3   505.2   547.6   603.6   676.4   983.9  3540.0 12665.3  45079.3    45026
read      401.1   349.2   160.7   212.3   228.8   354.8   420.0   461.3   493.4   532.3   585.9   678.0  1160.0  3482.7 14525.8  98546.7    98538
read      398.6   275.4   148.8   205.0   218.7   346.0   422.9   471.5   507.3   549.2   612.0   711.7  1349.1  2574.1  7883.1  64657.3    64683
read      391.9   318.9   148.8   202.7   215.1   340.6   411.7   466.5   507.6   550.2   605.6   677.8  1149.9  3945.8 12146.2  42029.7    42042
read      458.2  1108.9   160.7   203.5   215.7   355.2   436.5   483.1   509.1   540.8   590.4   708.2  1311.0 15007.8 37325.9  18401.7    18342
read      418.7   667.2   148.8   202.7   215.3   341.0   414.0   471.2   510.5   552.2   609.3   689.6  1280.3  8637.8 29929.7  37774.7    37986
read      388.9   347.4   160.7   203.1   215.8   342.8   412.1   458.1   494.8   536.8   591.5   671.6  1050.1  3170.1 11469.3  53605.0    53727
read      377.9   223.0   148.8   202.6   214.9   334.4   415.4   472.4   507.2   540.9   581.9   639.3   937.9  1794.1  7941.0  28811.7    28836
read      409.2   423.3   148.8   210.0   225.7   353.2   423.1   467.3   502.0   543.6   601.5   701.7  1423.4  5165.7 13639.2  90326.7    90500
read      388.5   327.1   148.8   203.9   217.3   336.9   404.9   449.3   483.1   523.0   576.5   668.9  1428.5  3042.8  8573.0  75562.0    75315
read      393.9   398.1   160.7   203.4   215.9   337.4   423.5   482.0   515.4   548.7   592.3   663.2  1063.9  4397.6 17052.4  27997.0    27970
read      421.0   470.0   148.8   206.9   221.5   350.7   426.4   473.6   507.6   548.8   611.1   722.6  1778.9  6081.8 18574.4  74780.0    74864
read      392.2   330.9   160.7   204.4   217.6   343.5   414.8   461.3   496.6   538.9   595.7   681.9  1215.9  3183.4 10809.2  62876.7    62754
read      392.4   281.2   148.8   204.0   217.0   345.4   425.8   485.0   520.5   558.1   605.4   671.4   955.2  3729.4  8682.8  30489.7    30680
read      401.5   705.7   160.7   208.7   223.6   351.5   396.3   425.1   449.7   480.4   517.4   584.8  1048.3  9133.5 30215.2   9861.3     9845
read      519.9  1314.6   160.7   203.1   215.6   373.5   479.7   533.2   579.0   646.5   732.8   864.4  2144.8 20452.7 37531.8  19570.0    19742
read      446.2   932.4   160.7   206.0   220.9   353.9   412.5   460.0   492.2   527.3   569.7   635.4  2425.7  9332.3 32047.0   9903.7     9853
read      512.2   593.7   148.8   208.5   224.9   366.7   452.4   514.4   571.5   662.3  1009.6  1562.5  2024.3  6596.8 18281.7  68250.0    68579
read      401.7   366.9   148.8   207.2   221.6   345.6   420.8   468.4   502.3   542.5   599.3   691.3  1408.8  3479.6 14019.2  70819.7    70923
read      393.2   206.2   148.8   207.1   221.7   348.5   431.6   490.6   526.6   565.7   613.3   679.3   957.3  1739.3  6853.7  33206.0    33200
read      405.9   372.4   160.7   210.1   225.6   352.0   422.4   466.0   499.0   538.3   593.3   689.9  1550.8  4010.6 14084.5  86358.3    86244
read      400.6   343.5   148.8   208.0   222.7   343.5   416.7   463.3   497.3   537.2   591.1   684.1  1568.7  3810.4  9709.3  79617.3    79364
read      408.5   343.1   160.7   208.8   223.3   357.2   436.4   484.4   518.1   560.0   620.3   711.0  1249.8  3529.9 12547.1  62357.0    62435
read      415.3   310.6   148.8   209.8   225.1   358.6   433.7   481.5   515.9   558.6   619.3   727.9  1634.3  3307.0  7525.0  80606.3    80906
read      388.9   348.0   148.8   203.2   216.2   342.4   414.9   467.9   505.5   546.7   599.9   672.0  1043.7  2755.3 10496.9  40718.3    40945
read      381.0   483.1   160.7   205.5   218.5   349.4   404.7   433.8   458.2   484.8   513.6   569.9   892.3  7217.1 27946.7  13240.0    13091
read      503.6   891.0   160.7   203.1   216.5   342.6   438.4   515.0   578.0   672.1   893.2  1180.9  2240.7 10120.8 35254.1  42119.7    42293
read      395.7   372.4   160.7   203.9   217.2   347.4   418.9   467.4   503.7   545.6   604.2   682.1  1123.4  2801.3 13692.8  50559.7    50561
read      402.5   695.5   160.7   204.5   216.7   349.7   405.9   436.9   462.2   489.6   524.9   603.2  1189.5  8238.2 31998.1  13218.3    13246
read      648.1  1601.2   148.8   229.4   256.7   426.7   509.7   567.7   613.9   673.7   775.4  1481.5  3873.9 25191.3 36955.6  88702.7    88660
read      390.6   407.6   148.8   202.9   215.0   334.6   416.4   473.8   506.1   540.1   582.8   646.5  1072.5  5321.8 16486.0  27237.3    27273
read      400.2   399.1   160.7   202.8   215.6   343.3   420.7   478.7   515.3   556.0   608.6   686.2  1178.0  5137.2  8780.3  33640.3    33616
read      398.7   315.2   160.7   203.5   216.6   349.1   424.6   475.4   511.1   552.8   610.0   686.3  1173.2  4783.7  9579.1  41454.7    41609
read      397.8   338.0   148.8   203.5   216.5   348.2   421.8   471.3   508.1   551.6   613.2   701.0  1234.3  2760.1 10706.9  53044.0    53006
read      388.6   252.6   160.7   203.8   217.1   338.9   409.2   455.5   491.2   533.2   591.2   687.4  1282.9  2416.8  8045.5  65923.7    65609
read      421.3   746.0   160.7   202.7   214.7   341.0   431.3   485.1   514.6   549.2   603.3   724.3  1190.4  9126.8 34049.2  22185.7    22102
read      440.5   864.4   148.8   206.0   220.3   351.4   427.3   474.6   508.0   548.9   608.4   704.8  1622.5 12871.6 33227.1  62164.7    62289
read      403.7   411.6   148.8   209.7   225.7   351.3   419.9   463.1   495.9   534.8   586.4   674.9  1402.9  4519.3 14295.5  93213.3    93279
read      440.3   859.5   160.7   203.5   216.2   341.7   435.3   492.6   526.2   563.6   615.0   747.1  1363.5  9814.2 32347.8  25614.7    25719
read      411.8   651.5   160.7   204.0   217.3   346.0   418.6   468.5   506.5   551.6   610.2   689.6  1178.7  8698.0 31724.0  43275.0    43538
read      393.6   394.3   148.8   205.4   219.8   338.9   406.8   451.1   484.7   524.4   578.3   670.6  1533.0  3456.0 15975.8  81982.0    81970
read      388.2   315.3   148.8   201.8   215.1   337.3   406.9   452.4   487.6   529.6   588.2   680.2  1290.2  3186.3 11856.9  64102.7    64041
read      391.0   399.6   148.8   205.4   219.7   339.7   407.0   450.7   484.1   522.6   575.3   663.6  1169.2  4315.6 13457.5  82687.7    82603
read      404.7   326.6   148.8   205.6   219.7   347.8   423.5   470.5   504.1   544.8   604.0   699.7  1580.8  4026.1  9087.5  70515.7    70495
read      382.4   281.4   148.8   203.5   216.6   335.7   404.3   448.5   482.3   521.9   575.4   657.9  1100.1  3378.1  9519.4  72537.3    72424
read      388.9   302.1   148.8   206.1   220.6   340.3   407.5   450.4   482.1   519.3   571.8   661.3  1425.7  3284.4  9535.0  85574.3    85276
read      389.5   286.3   148.8   203.2   216.0   343.6   415.8   461.2   495.9   537.5   594.3   677.7  1145.3  2946.1  8374.7  56098.3    55936
read      422.3   446.7   160.7   213.5   230.6   364.3   434.7   480.8   515.7   560.3   621.3   728.0  1556.1  4820.6 16320.7  96408.0    96322
read      388.5   352.5   148.8   203.5   216.3   343.2   413.7   458.1   492.0   532.4   589.2   673.9  1149.1  2303.2 12714.4  57889.0    58004
read      384.3   241.8   148.8   204.9   218.8   338.6   404.7   447.4   479.2   515.9   568.6   660.1  1445.4  2625.5  6693.1  81364.7    81490
read      404.1   389.7   148.8   205.4   219.9   342.8   412.3   456.6   489.8   529.9   585.5   684.7  1641.3  4853.1 11244.2  81521.3    81517
read      399.6   391.2   160.7   204.4   218.3   350.4   424.4   473.1   508.1   549.7   610.8   693.5  1145.5  2654.8 16779.8  54921.3    54983
read      390.6   248.9   148.8   203.2   216.4   345.6   420.7   474.8   511.0   552.7   607.2   680.3  1074.1  3084.9  6295.5  38973.3    38976
read      392.2   277.0   148.8   204.2   217.6   341.6   413.6   461.2   496.9   538.3   594.3   683.0  1304.0  3392.7  7996.2  63950.7    63927
read      409.3   398.9   148.8   207.2   222.1   351.6   428.3   477.1   510.6   551.0   609.6   712.2  1407.6  4561.2  9768.6  76377.7    76081
read      379.9   271.2   148.8   203.3   216.8   335.3   401.9   443.1   475.3   512.4   561.3   640.5  1274.6  3011.4  9172.0  76761.7    76983
read      389.4   431.1   148.8   200.8   214.7   338.7   410.1   458.9   496.7   533.6   576.9   641.4  1037.1  6479.4 12901.3  37477.7    37371
read      381.1   264.8   148.8   204.2   218.0   342.2   413.4   458.1   491.3   529.1   579.0   660.3   900.5  2097.0 12206.6  68159.3    68206
read      394.5   266.5   148.8   204.0   218.0   348.7   422.5   469.1   502.9   542.6   597.8   687.1  1160.8  3030.4  9532.7  62989.3    62606
read      384.0   334.9   148.8   206.8   222.1   340.7   404.2   444.1   473.8   509.6   559.7   640.7  1018.2  4320.5  9113.4  93693.7    93651
read      365.8   337.8   148.8   203.5   216.9   337.6   380.4   403.6   426.2   455.5   496.4   571.9   935.5  4173.6 19290.8  10582.7    10643
read      446.5   622.3   148.8   199.5   213.4   335.7   413.7   477.7   527.0   591.6   713.7   965.0  1667.8  8244.1 29927.8  48624.7    48607
read      373.9   215.1   148.8   199.3   212.9   334.5   402.5   445.9   482.3   523.6   577.6   656.4  1005.9  1869.2  7569.0  52971.3    53157
read      386.9   274.2   148.8   202.6   215.8   346.6   420.3   471.6   507.0   545.4   596.7   667.6   935.6  1849.9  9277.1  38463.3    38574
read      373.0   203.8   148.8   199.6   212.7   336.1   401.7   445.6   481.8   522.2   574.9   652.0   955.8  1847.4  7779.2  54626.7    54825
read      386.1   396.7   148.8   200.4   213.4   338.0   405.7   452.1   488.7   529.2   580.4   654.5   991.7  5979.7 13651.4  48700.7    48703
read      385.7   284.3   148.8   199.7   213.3   339.9   408.8   454.9   491.1   533.2   587.8   670.3  1207.4  3074.1  6957.9  51947.3    51830
read      391.9   342.6   148.8   203.4   216.8   339.4   409.5   456.0   490.3   530.1   585.5   678.4  1438.5  2892.3  9544.0  72004.7    72193
read      371.6   284.5   160.7   201.7   214.1   346.5   401.4   434.8   460.2   489.1   527.6   597.5   834.7  3223.4 10982.2  13703.3    13695
read      466.0   743.8   148.8   201.6   215.5   344.8   435.3   504.5   555.6   627.1   780.7  1086.4  1613.1 11507.3 31534.2  39176.7    39233
read      412.0   697.1   148.8   200.6   213.2   340.0   427.7   479.8   509.3   544.4   591.1   704.4  1072.4 10463.5 34967.2  23537.0    23461
read      471.6   771.4   160.7   216.3   235.6   381.9   456.3   503.8   543.2   594.4   669.0   811.9  1763.7 12025.6 31745.3  96816.3    96860
read      397.7   353.0   148.8   205.3   220.1   342.7   410.8   453.5   486.0   525.7   582.1   688.7  1552.8  4179.9  9670.7  85004.0    85257
read      395.6   366.4   160.7   200.0   211.9   339.8   430.9   484.0   514.1   548.2   604.7   731.5  1013.9  4851.0 11120.7  22797.0    22788
read      432.1   645.7   148.8   208.6   224.8   356.2   424.2   468.8   504.6   549.5   617.0   744.0  1711.5  8049.3 30877.6  94340.7    94465
read      367.5   642.4   160.7   203.5   216.8   325.9   359.9   377.3   391.2   405.6   435.4   503.1   926.1  7900.0 29761.1   8782.3     8851
read      500.9   940.0   160.7   202.6   216.1   338.8   428.0   505.7   569.0   668.9   924.0  1203.1  1955.3 12603.3 34310.4  44180.3    44301
read      380.2   334.8   148.8   202.0   214.6   334.2   400.8   443.9   477.3   515.2   568.8   655.3  1196.8  2348.3 11497.4  72020.0    71932
read      392.2   332.0   148.8   205.9   220.7   342.4   408.5   449.9   481.6   519.2   570.9   659.8  1584.7  3086.5  9298.6  89241.3    89580
read      397.4   447.0   148.8   206.9   222.2   341.6   406.1   449.0   481.7   521.8   575.0   668.1  1469.0  5958.0 14978.5  96925.0    96807
read      388.0   224.5   148.8   201.7   214.7   345.4   417.6   469.3   505.5   548.2   605.6   683.4  1086.2  2023.6  8122.5  43702.3    43753
read      393.7   404.1   148.8   203.3   217.0   336.9   401.6   444.2   478.1   519.1   576.6   683.4  1532.4  3623.4 10220.4  82573.0    82535
read      383.0   239.0   148.8   201.5   214.2   333.0   400.4   444.3   480.0   521.8   580.7   681.1  1379.0  2344.5  6167.4  68183.7    68416
read      395.9   302.3   148.8   204.4   219.2   341.4   408.7   453.5   487.8   528.7   585.6   687.0  1584.7  3229.1  8450.5  81164.3    81172
read      388.2   274.6   160.7   202.2   215.0   345.8   416.0   465.3   501.4   543.6   597.6   672.2  1104.9  2679.9  8173.0  42813.3    42972
read      384.5   223.4   148.8   202.4   215.2   341.6   413.1   460.2   495.7   537.9   594.1   676.3  1075.5  2204.3  5924.4  55956.3    55803
read      384.2   224.2   148.8   201.5   214.3   339.5   408.3   456.0   492.5   535.3   591.3   676.3  1225.1  2446.4  4058.2  55112.3    55070
read      396.3   520.8   148.8   203.1   216.7   335.8   403.2   446.0   478.7   517.2   569.2   654.5  1452.4  6615.7 25896.8  83081.7    83452
read      384.7   311.4   148.8   201.1   214.4   334.0   401.1   443.4   475.7   513.9   568.6   660.1  1501.2  2823.9  8274.4  75974.3    75899
read      387.0   251.9   148.8   202.1   215.2   337.5   404.5   449.1   483.0   523.4   579.9   676.6  1472.8  2598.7  6713.6  70077.3    70120
read      374.3   248.9   148.8   199.1   212.0   330.3   403.7   459.5   496.1   533.7   578.2   638.3   956.0  1985.2  9693.4  33156.7    33455
read      413.3   466.7   148.8   210.2   226.8   356.1   422.7   465.0   497.6   538.6   596.8   702.8  1452.5  5512.2 15895.4  96588.3    96916
read      398.6   367.3   148.8   202.5   215.5   343.0   414.6   461.1   496.3   539.4   598.9   708.0  1448.7  3087.3 12429.2  68534.0    68328
