p95,ts_start,ts_end
593.2,1714550943898,1714550954080
642.0,1714550955587,1714550965723
644.3,1714550967230,1714550977340
631.0,1714550978846,1714550988954
617.8,1714550990462,1714551000573
616.0,1714551002080,1714551012195
687.7,1714551013702,1714551023824
611.0,1714551025332,1714551035448
635.9,1714551036956,1714551047080
615.0,1714551048588,1714551058703
669.5,1714551060212,1714551070328
628.0,1714551071836,1714551081954
616.8,1714551083463,1714551093576
623.6,1714551095085,1714551105214
616.9,1714551106722,1714551116838
609.5,1714551118346,1714551128457
