Workload,Execution Time,Start,Stop
parsec-blackscholes, 113.0,1714550957000.0,1714551070000.0
parsec-canneal, 148.0,1714550957000.0,1714551105000.0
parsec-dedup, 14.0,1714550958000.0,1714550972000.0
parsec-ferret, 135.0,1714550985000.0,1714551120000.0
parsec-freqmine, 104.0,1714550973000.0,1714551077000.0
parsec-radix, 10.0,1714550958000.0,1714550968000.0
parsec-vips, 26.0,1714551082000.0,1714551108000.0
memcached, 163.0,1714550957000.0,1714551120000.0
