p95,ts_start,ts_end
614.6,1714550395849,1714550406021
666.0,1714550407530,1714550417668
672.5,1714550419176,1714550429298
674.1,1714550430807,1714550440927
617.8,1714550442437,1714550452550
663.4,1714550454057,1714550464171
621.0,1714550465679,1714550475794
616.0,1714550477304,1714550487423
626.0,1714550488933,1714550499048
648.4,1714550500557,1714550510678
629.1,1714550512186,1714550522303
623.4,1714550523813,1714550533927
617.6,1714550535435,1714550545555
621.4,1714550547064,1714550557179
616.7,1714550558687,1714550568807
625.5,1714550570312,1714550580428
