Workload,Execution Time,Start,Stop
parsec-blackscholes, 115.0,1714550712000.0,1714550827000.0
parsec-canneal, 148.0,1714550712000.0,1714550860000.0
parsec-dedup, 13.0,1714550713000.0,1714550726000.0
parsec-ferret, 136.0,1714550740000.0,1714550876000.0
parsec-freqmine, 104.0,1714550727000.0,1714550831000.0
parsec-radix, 10.0,1714550712000.0,1714550722000.0
parsec-vips, 26.0,1714550836000.0,1714550862000.0
memcached, 164.0,1714550712000.0,1714550876000.0
