avg_qps, std_qps, avg_p95, std_p95, avg_cpu
4993.3, 6.1, 492.9, 11.1, 6.1
10001.1, 45.9, 596.1, 8.9, 11.6
14971.4, 46.3, 683.8, 15.7, 17.3
19939.5, 91.1, 748.1, 6.5, 22.7
24960.5, 22.7, 793.0, 8.1, 28.6
29992.4, 9.2, 811.8, 3.2, 34.2
34908.5, 6.4, 835.6, 11.4, 40.5
39993.1, 28.7, 854.2, 7.8, 44.4
45007.1, 42.7, 857.9, 6.5, 52.5
49912.9, 144.0, 872.8, 7.7, 57.5
55075.9, 26.8, 880.9, 5.8, 63.6
59978.6, 37.0, 872.8, 2.2, 70.5
64929.1, 48.4, 869.9, 3.8, 78.0
69888.9, 133.8, 849.0, 2.7, 84.5
74661.0, 336.6, 1235.4, 139.2, 92.2
75990.2, 263.4, 1393.6, 12.2, 95.0
78476.0, 2863.0, 1347.4, 77.3, 97.2
75344.9, 888.1, 1445.2, 25.4, 92.9
75624.1, 508.8, 1443.9, 21.2, 96.9
75873.6, 408.4, 1439.2, 8.8, 94.5
74972.1, 607.5, 1453.9, 14.8, 94.9
75306.7, 1737.3, 1441.1, 35.7, 97.7
76140.1, 658.9, 1419.1, 18.4, 95.8
77919.3, 3048.2, 1425.8, 17.1, 92.6
76243.6, 995.4, 1420.2, 27.2, 96.0
