avg_qps, std_qps, avg_p95, std_p95, avg_cpu
4992.5, 32.5, 467.6, 25.8, 8.0
10034.2, 30.1, 526.6, 32.5, 15.0
14975.7, 74.8, 555.2, 32.6, 21.8
19941.8, 35.6, 597.0, 32.6, 29.3
25055.1, 127.7, 612.0, 29.9, 36.7
30019.6, 60.2, 624.9, 37.9, 44.2
35029.2, 80.9, 637.6, 37.4, 51.2
40012.8, 90.0, 638.2, 34.1, 57.9
45027.9, 99.8, 626.0, 11.3, 67.0
49954.1, 63.3, 630.5, 21.1, 74.2
54968.9, 50.9, 620.3, 13.2, 81.3
59977.8, 82.2, 618.0, 15.2, 87.7
64976.2, 187.2, 621.5, 10.2, 96.6
69899.7, 81.4, 611.4, 18.9, 105.7
74918.7, 168.9, 604.7, 4.6, 111.2
79968.8, 33.4, 617.1, 3.8, 123.0
84937.4, 120.4, 593.6, 2.7, 125.2
89855.4, 33.9, 598.5, 3.6, 135.4
94906.1, 158.6, 590.8, 2.7, 146.3
100106.4, 167.0, 593.4, 9.2, 154.9
104961.7, 49.4, 596.9, 19.5, 165.2
110002.8, 51.1, 654.7, 82.3, 167.0
114711.1, 365.0, 712.8, 94.4, 176.4
116007.3, 3328.3, 824.0, 83.4, 184.4
119582.3, 1027.1, 803.5, 24.6, 185.8
