avg_qps, std_qps, avg_p95, std_p95, avg_cpu
5010.3, 3.4, 500.2, 31.9, 6.5
9965.8, 37.9, 612.8, 38.9, 11.8
14993.5, 29.3, 688.7, 34.1, 18.2
19994.1, 14.8, 777.6, 3.7, 24.7
24978.1, 109.2, 835.3, 25.8, 29.1
30005.7, 28.5, 903.3, 32.8, 35.5
34942.7, 44.5, 987.6, 43.4, 41.8
39984.4, 81.1, 1032.2, 48.9, 48.1
44970.2, 85.0, 1116.9, 25.2, 52.2
49890.7, 97.1, 1229.6, 38.6, 60.5
54923.2, 111.2, 1259.2, 37.3, 67.3
59880.1, 45.9, 1282.0, 56.9, 75.6
64920.7, 32.0, 1231.7, 28.9, 80.2
70082.1, 121.3, 1371.3, 60.6, 87.7
74316.9, 396.0, 1841.5, 205.1, 92.8
74890.5, 1909.5, 1957.3, 39.6, 92.5
76198.8, 1438.6, 1927.2, 13.7, 92.9
74499.1, 1914.4, 1931.1, 26.0, 95.1
76345.0, 2319.3, 1906.0, 34.8, 90.7
75601.5, 1837.0, 1918.9, 32.3, 94.7
72868.8, 2982.6, 1970.0, 34.1, 92.8
76811.1, 1830.5, 1912.1, 30.9, 93.0
75481.8, 940.7, 1929.1, 14.4, 95.2
75054.6, 2569.0, 1930.6, 37.3, 90.7
74560.6, 1585.6, 1932.3, 36.3, 94.9
