#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      382.6   467.6   160.7   233.2   258.9   354.4   385.9   403.0   417.8   433.4   456.2   493.2   670.2  7775.9 19729.2   5009.8     5000  1714936772329  1714936777765
read      400.6   347.2   148.8   220.2   236.0   383.6   444.9   474.8   496.8   521.4   549.7   593.6   684.4  2655.1 19637.7   9913.0    10000  1714936779269  1714936784648
read      420.6   236.6   160.7   216.3   233.9   398.7   476.5   520.7   549.9   583.0   621.2   675.4   788.2  1766.7  9886.2  14965.8    15000  1714936786153  1714936791495
read      457.5   296.1   160.7   213.3   231.6   428.0   521.5   576.7   614.2   654.3   700.1   772.8   944.6  2094.3 16262.7  20012.4    20000  1714936793000  1714936798332
read      467.9   303.4   148.8   211.2   228.6   430.4   534.6   599.9   644.5   692.7   746.9   829.7  1037.8  1578.7 12032.2  24930.4    25000  1714936799836  1714936805173
read      460.1   292.7   148.8   206.5   222.6   405.1   521.1   599.8   653.7   706.2   766.1   857.8  1118.7  2211.2 11939.3  30044.5    30000  1714936806677  1714936811993
read      479.6   357.0   148.8   208.2   223.9   383.0   522.2   627.5   702.8   777.0   864.4  1008.3  1306.3  1845.7 11183.6  35003.6    35000  1714936813497  1714936818799
read      476.0   326.4   148.8   209.7   225.1   366.0   502.6   610.3   698.2   784.9   883.8  1049.2  1349.5  2052.9  8998.2  40087.0    40000  1714936820303  1714936825615
read      477.6   352.5   148.8   212.0   226.9   360.1   491.7   593.8   684.4   780.7   894.9  1096.2  1450.0  1994.9 10331.1  44856.8    45000  1714936827119  1714936832435
read      483.2   377.9   148.8   210.8   226.8   350.0   448.3   542.8   652.7   789.5   973.1  1268.9  1628.7  2113.9 11514.1  50028.0    50000  1714936833939  1714936839236
read      479.1   395.4   160.7   212.6   228.6   346.0   436.0   528.5   630.3   772.0   953.2  1257.9  1681.8  2291.6 12167.3  54777.6    55000  1714936840740  1714936846035
read      494.8   395.8   160.7   219.5   236.2   362.1   464.1   552.5   647.9   787.6   979.3  1276.3  1714.7  2510.6 10493.9  59887.6    60000  1714936847539  1714936852847
read      472.3   357.2   160.7   215.1   230.6   346.2   444.1   531.4   618.4   751.0   920.4  1193.4  1634.5  2238.4  9839.9  64877.8    65000  1714936854352  1714936859655
read      484.4   383.4   148.8   220.4   237.2   347.5   433.4   515.1   605.8   769.4   986.4  1297.1  1776.0  2367.4  8698.7  70251.2    70000  1714936861160  1714936866458
read      756.4   851.7   148.8   253.2   284.7   448.0   637.2   941.1  1159.0  1462.3  1688.1  1982.5  2924.8  8354.3 31200.5  73867.4    75000  1714936867963  1714936873267
read      857.8  1116.5   160.7   277.3   323.6   452.9   647.9  1408.9  1541.7  1642.3  1748.9  1924.9  2969.0 11108.2 32397.7  76392.6    80000  1714936874772  1714936880071
read      849.3  1226.2   160.7   280.4   315.8   442.4   593.4  1376.6  1519.2  1620.3  1734.1  1908.0  2979.1 14156.1 35668.3  78110.2    85000  1714936881575  1714936886872
read      918.4  1160.8   160.7   278.4   331.9   499.4   932.3  1514.2  1607.5  1700.8  1805.6  1960.7  2871.6 13890.5 32482.9  72435.6    90000  1714936888376  1714936893673
read      866.7  1321.8   160.7   294.9   332.9   444.7   595.1  1404.9  1537.3  1633.3  1738.6  1883.5  2893.2 18672.6 36662.7  77537.6    95000  1714936895177  1714936900486
read      859.9  1355.7   160.7   287.1   332.0   442.2   583.7  1358.4  1517.1  1618.6  1722.7  1875.1  2909.1 16917.8 39552.6  78175.6   100000  1714936901990  1714936907302
read      973.9  1413.1   160.7   282.2   327.9   536.3   902.6  1520.6  1633.0  1730.3  1840.1  2014.4  2985.2 19533.3 35620.6  69091.2   105000  1714936908805  1714936914105
read      852.5  1355.3   160.7   297.1   331.1   432.2   572.2  1388.5  1518.3  1614.2  1724.0  1877.3  2835.9 20293.3 35628.9  78907.8   110000  1714936915609  1714936920919
read      889.4  1124.1   160.7   284.4   334.4   474.0   786.7  1498.2  1586.8  1678.8  1781.8  1934.3  2828.3 13829.7 32118.5  74672.2   115000  1714936922423  1714936927731
read      935.5  1390.2   148.8   278.1   328.7   498.9   742.8  1503.7  1604.5  1702.8  1812.7  1974.5  2969.7 17348.7 36999.0  72017.5   120000  1714936929235  1714936934542
read      877.2  1377.9   148.8   287.7   338.8   453.3   612.4  1398.3  1542.8  1641.1  1735.5  1883.2  2897.6 20051.6 36378.3  76769.6   125000  1714936936046  1714936941361
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 87.41%,68.18%,100.00%
