#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      389.5   445.3   160.7   234.5   260.6   362.3   392.0   407.9   422.0   436.1   459.7   497.2   703.4  8633.0 14789.8   4986.4     5000  1714935812666  1714935818213
read      415.4   346.8   160.7   223.9   242.0   404.6   460.2   488.6   507.3   531.4   559.5   601.8   692.0  4020.3 15669.8   9978.4    10000  1714935819720  1714935825105
read      438.2   265.0   160.7   222.3   241.3   422.1   496.8   536.9   565.7   597.6   636.3   696.4   834.1  1854.0  8585.7  15028.3    15000  1714935826611  1714935831965
read      454.9   245.7   148.8   218.6   238.5   432.5   514.7   562.7   596.5   635.0   683.8   757.3   916.6  1425.1 10878.5  19899.2    20000  1714935833469  1714935838805
read      471.8   251.4   148.8   220.0   239.4   446.1   530.8   582.2   621.0   665.8   721.9   803.8   978.0  2614.8 10161.9  24959.4    25000  1714935840310  1714935845669
read      467.9   265.3   148.8   216.1   234.4   440.5   525.8   578.2   618.8   667.2   727.4   815.9  1013.1  1420.7 11074.4  29982.0    30000  1714935847173  1714935852515
read      464.6   254.6   160.7   213.7   232.0   435.6   525.0   578.0   619.0   668.7   731.0   821.5  1000.8  2006.9  8567.0  34917.4    35000  1714935854019  1714935859334
read      470.8   260.4   148.8   215.6   233.4   440.3   536.4   592.5   634.9   686.0   748.6   844.8  1042.3  1369.1  7800.1  39994.8    40000  1714935860840  1714935866141
read      474.9   276.2   148.8   213.8   232.4   444.1   542.1   596.2   637.6   689.4   756.7   849.2  1060.0  1395.0  9776.7  45017.4    45000  1714935867645  1714935872948
read      477.8   282.5   160.7   215.2   233.5   443.4   544.2   600.1   641.5   694.7   767.0   867.5  1071.1  1462.4  9833.4  49943.8    50000  1714935874453  1714935879753
read      477.6   299.0   148.8   214.5   234.2   436.7   535.2   593.3   636.9   692.5   773.7   883.5  1102.7  1644.0 10587.5  55106.5    55000  1714935881257  1714935886570
read      477.7   273.0   148.8   215.8   235.6   438.4   540.0   598.0   641.0   694.4   770.4   876.0  1075.9  1424.7  9350.7  60030.8    60000  1714935888075  1714935893385
read      474.6   266.0   148.8   217.3   238.1   431.0   531.1   589.7   635.9   692.9   769.2   873.8  1088.1  1604.3  9241.4  64868.6    65000  1714935894889  1714935900195
read      474.4   277.1   148.8   221.3   243.8   436.8   534.6   590.1   633.6   686.3   753.3   851.2  1024.2  1323.1  9550.0  69702.4    70000  1714935901699  1714935906997
read      555.3   360.4   148.8   244.7   281.0   509.3   608.3   668.2   718.8   787.7   882.8  1046.6  1277.4  1926.4 15221.9  75136.2    75000  1714935908501  1714935913813
read      839.0   429.2   148.8   534.7   567.8   689.4   788.7  1128.3  1205.1  1259.2  1317.0  1378.0  1493.3  3634.8 17275.4  76277.6    80000  1714935915318  1714935920647
read      847.1   471.9   160.7   558.2   588.2   691.0   767.9  1148.2  1223.0  1276.2  1328.4  1380.5  1491.0  4113.5 17366.0  76743.0    85000  1714935922152  1714935927471
read      867.6   412.0   173.5   557.2   593.2   725.4   803.0  1144.2  1237.2  1308.5  1374.5  1456.2  1583.9  2253.2 15520.4  75420.6    90000  1714935928977  1714935934282
read      875.7   442.6   173.5   559.6   596.8   734.1   804.7  1123.3  1236.4  1320.3  1395.7  1472.1  1598.4  2942.7 16557.7  75141.2    95000  1714935935787  1714935941095
read      870.0   434.4   160.7   553.2   588.0   717.5   826.2  1182.3  1248.5  1306.0  1356.2  1426.8  1549.3  3640.8 15948.2  75480.2   100000  1714935942600  1714935947932
read      873.7   436.0   160.7   586.1   611.1   716.1   786.9  1205.4  1283.6  1326.2  1368.8  1435.1  1527.9  3786.4 15322.7  75295.6   105000  1714935949437  1714935954740
read      868.9   464.5   173.5   566.9   601.0   716.5   792.5  1179.7  1256.2  1315.1  1366.2  1439.3  1559.4  2896.6 19539.9  75628.4   110000  1714935956245  1714935961552
read      854.5   424.3   160.7   564.8   597.4   698.6   773.9  1176.9  1242.3  1297.2  1343.7  1396.5  1492.3  2484.0 16995.1  76861.0   115000  1714935963058  1714935968363
read      798.6   418.3   148.8   473.4   502.8   698.0   877.9  1022.2  1072.6  1128.9  1199.4  1401.7  1585.6  2263.1 16072.0  82224.8   120000  1714935969867  1714935975179
read      863.9   401.9   160.7   552.7   590.2   718.7   813.8  1150.6  1235.0  1298.9  1353.5  1426.8  1550.4  2565.6 14745.8  76005.2   125000  1714935976683  1714935981986
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 87.50%,52.53%,100.00%
