#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      366.8   450.8   173.5   227.3   252.6   336.7   367.2   384.3   396.2   410.5   430.4   465.1   630.4  8926.4 14877.8   5006.4     5000  1714936395798  1714936401238
read      398.7   378.2   160.7   220.3   236.1   376.0   433.9   463.1   484.0   507.3   536.3   577.8   679.7  5504.9 19283.6   9984.5    10000  1714936402742  1714936408124
read      408.1   250.4   160.7   216.9   233.7   380.6   454.3   497.7   529.1   563.3   602.0   655.1   769.4  2449.3 12248.0  14980.6    15000  1714936409628  1714936414957
read      451.1   274.7   160.7   214.9   232.0   415.6   504.8   562.7   603.5   647.1   698.6   778.0   981.0  2010.2 11297.3  19976.2    20000  1714936416461  1714936421779
read      469.1   317.3   160.7   208.8   225.1   419.4   526.8   599.5   651.6   706.2   769.7   869.4  1135.7  2309.8 12550.4  24874.8    25000  1714936423283  1714936428600
read      466.7   331.8   160.7   208.6   223.8   383.7   507.7   602.0   667.4   732.0   805.0   933.9  1278.3  2084.9 12307.2  29995.8    30000  1714936430104  1714936435426
read      478.4   338.7   160.7   210.7   225.9   376.8   507.2   617.0   700.3   782.2   872.9  1027.3  1320.0  1707.9 10568.1  34926.2    35000  1714936436929  1714936442237
read      468.5   369.6   160.7   207.8   222.6   343.7   465.6   579.5   694.6   795.8   912.2  1081.8  1361.7  2029.4 12714.6  39888.8    40000  1714936443742  1714936449056
read      464.6   354.3   160.7   207.1   221.8   343.4   454.5   548.8   665.6   784.4   913.7  1102.2  1411.0  1808.9 10195.4  45061.6    45000  1714936450560  1714936455870
read      473.0   360.8   160.7   207.8   223.2   340.9   434.7   528.8   636.9   787.9   974.1  1242.9  1563.3  2016.1  8716.3  49819.0    50000  1714936457373  1714936462677
read      469.8   390.7   148.8   207.6   223.0   333.0   407.9   488.0   585.7   772.6  1003.1  1305.6  1677.4  2130.8 12053.2  55047.6    55000  1714936464182  1714936469492
read      486.6   401.2   148.8   210.4   227.1   346.5   436.8   518.8   604.3   764.6  1025.8  1354.4  1758.2  2195.3 10447.9  59820.6    60000  1714936470995  1714936476311
read      460.9   382.1   148.8   208.0   223.4   328.6   407.4   486.2   572.4   734.1   946.3  1263.2  1665.3  2236.6 10772.9  64929.6    65000  1714936477814  1714936483123
read      514.6   440.4   160.7   220.2   238.7   361.4   453.0   534.5   626.0   813.8  1087.2  1445.6  1969.8  2852.9 11956.5  70023.0    70000  1714936484627  1714936489937
read      655.2   613.4   160.7   229.2   253.8   422.9   575.1   746.7   934.5  1095.1  1427.4  1990.5  2609.3  3933.0 15309.8  74252.2    75000  1714936491441  1714936496744
read      855.2  1256.0   160.7   272.0   310.7   452.0   614.6  1366.3  1517.4  1621.4  1747.4  1933.9  3214.8 12989.8 36442.8  76083.0    80000  1714936498248  1714936503557
read      903.3  1397.5   148.8   275.0   328.2   471.6   657.8  1443.4  1569.8  1667.7  1770.9  1939.1  2940.8 20489.0 36817.1  74639.4    85000  1714936505061  1714936510368
read      906.2  1346.7   160.7   282.1   340.9   471.9   665.8  1467.1  1582.2  1676.8  1777.7  1935.0  2938.5 16694.1 37338.0  74013.0    90000  1714936511872  1714936517180
read      858.6  1349.2   160.7   292.8   333.9   435.9   567.4  1393.1  1529.7  1626.7  1728.3  1879.3  2882.2 19588.2 36022.5  78394.9    95000  1714936518685  1714936523981
read      906.0  1279.4   148.8   282.0   337.1   479.2   774.6  1501.4  1596.2  1684.8  1782.0  1929.4  2868.4 18968.8 36565.1  74010.0   100000  1714936525487  1714936530798
read      915.2  1215.8   160.7   290.2   339.9   489.2   889.2  1517.3  1601.7  1695.6  1803.6  1963.9  2877.7 14972.7 36973.4  73132.4   105000  1714936532303  1714936537610
read      894.1  1154.1   160.7   294.6   331.6   476.6   782.2  1494.8  1581.3  1677.0  1789.5  1952.3  2864.3 12911.3 32320.0  74447.8   110000  1714936539115  1714936544424
read      874.0  1280.5   160.7   292.2   337.0   454.1   626.2  1416.7  1546.1  1642.9  1744.2  1909.5  2914.9 14519.7 36697.2  76800.8   115000  1714936545929  1714936551237
read      860.3  1351.7   148.8   291.5   330.4   439.5   575.4  1388.6  1527.5  1626.2  1731.2  1883.3  2887.9 19782.0 36692.3  78300.0   120000  1714936552742  1714936558055
read      912.8  1370.4   160.7   292.1   340.6   476.4   706.5  1473.7  1581.9  1679.2  1785.4  1943.8  2919.0 17413.3 36977.0  73790.2   125000  1714936559560  1714936564864
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 87.37%,72.08%,100.00%
