#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      368.8   376.4   173.5   238.8   264.4   345.2   369.3   383.7   394.3   405.2   427.5   466.0   668.1  5394.1 13413.2   5037.2     5000  1714937355723  1714937361144
read      382.4   283.5   160.7   224.9   241.6   380.0   417.3   435.5   449.7   464.2   483.8   509.1   587.1  4844.6 12892.8  10048.2    10000  1714937362652  1714937368023
read      374.7   310.5   160.7   213.6   228.3   372.9   423.2   446.7   462.2   479.6   500.3   533.4   619.0  2275.8 15944.4  15081.1    15000  1714937369527  1714937374868
read      382.0   216.4   148.8   210.3   225.6   368.7   447.7   480.2   500.5   522.5   545.7   582.7   664.1  1276.4  9877.1  19919.4    20000  1714937376372  1714937381709
read      374.7   189.4   160.7   205.4   220.4   341.9   436.0   479.0   504.4   530.2   558.8   598.9   688.1  1241.4  7800.2  24994.8    25000  1714937383213  1714937388534
read      376.3   233.7   148.8   202.6   216.3   342.4   432.4   477.0   504.4   533.3   566.1   611.0   710.7  1336.6  9743.0  30057.4    30000  1714937390037  1714937395342
read      382.0   228.9   148.8   204.1   218.8   348.1   434.2   481.6   512.7   544.8   581.7   629.5   734.0  1435.0  7986.9  35010.2    35000  1714937396846  1714937402157
read      371.4   211.7   148.8   203.0   216.5   335.9   414.2   463.4   497.5   533.3   572.6   623.6   721.1  1387.7  9804.9  39899.9    40000  1714937403661  1714937408955
read      375.9   197.9   148.8   203.8   217.5   342.4   424.1   469.4   503.2   540.5   581.6   633.0   728.9  1280.0  7860.7  44931.4    45000  1714937410460  1714937415767
read      372.5   193.2   148.8   204.3   218.6   342.0   418.4   462.3   494.8   531.2   572.1   623.6   715.9  1063.9  8028.5  50036.4    50000  1714937417271  1714937422566
read      368.1   440.7   148.8   203.6   217.1   336.4   411.0   453.8   484.3   519.1   561.0   618.1   725.0  1350.5  6219.0  55035.4    55000  1714937424070  1714937429377
read      371.0   197.4   148.8   204.7   218.9   340.3   415.6   457.7   488.6   524.4   566.5   621.8   726.3  1617.0  8139.2  59998.0    60000  1714937430881  1714937436183
read      364.4   202.4   148.8   204.7   218.5   333.9   405.1   445.5   475.1   510.3   552.9   610.4   708.6  1337.2  8855.0  64711.8    65000  1714937437687  1714937442989
read      352.6   192.6   148.8   202.6   215.4   323.7   387.6   424.2   451.6   484.2   525.7   585.4   698.6  1651.3  7894.5  69799.8    70000  1714937444493  1714937449809
read      359.6   171.7   148.8   205.1   218.8   327.8   398.7   438.5   467.7   502.2   544.2   603.9   713.5  1366.6  7560.9  74937.8    75000  1714937451313  1714937456619
read      369.8   206.9   148.8   207.5   222.2   336.8   409.3   450.5   480.2   515.0   558.5   621.7   747.8  1594.9  8063.4  80010.6    80000  1714937458124  1714937463443
read      355.8   171.5   148.8   205.0   218.9   324.3   389.4   428.0   457.2   491.5   534.1   593.5   720.4  1737.7  5468.7  85100.8    85000  1714937464947  1714937470253
read      360.4   188.0   148.8   207.0   221.5   329.8   395.9   433.6   461.8   495.0   536.6   596.5   724.1  1722.1  7626.5  89810.0    90000  1714937471757  1714937477069
read      354.9   183.8   148.8   206.5   220.7   324.6   385.9   422.3   449.9   483.2   526.4   589.8   728.3  1487.6  7775.8  94847.0    95000  1714937478575  1714937483891
read      359.6   199.9   148.8   209.4   224.3   331.8   391.6   426.9   453.3   484.6   525.3   586.3   722.7  1645.7  8309.4  99879.6   100000  1714937485396  1714937490700
read      363.4   173.3   148.8   210.4   226.1   336.5   395.2   431.0   458.6   491.6   534.5   602.3   747.8  1018.5  4866.9 104899.4   105000  1714937492205  1714937497509
read      358.5   214.0   148.8   211.5   226.8   333.3   387.9   420.4   445.2   475.2   515.0   577.1   708.7  1549.4  7967.7 109946.9   110000  1714937499013  1714937504335
read      422.1   215.1   148.8   224.3   246.3   386.5   460.1   507.6   545.1   590.3   646.8   729.2   869.6  1146.5  7629.5 114762.4   115000  1714937505840  1714937511157
read      521.9   277.2   148.8   259.6   296.3   463.3   551.4   629.6   698.7   773.8   848.6   936.0  1088.2  1445.2 10498.7 111409.8   120000  1714937512662  1714937517976
read      488.7   370.1   160.7   259.9   293.0   439.7   522.3   588.5   641.7   700.1   762.3   837.2   948.1  1174.4 10500.0 118557.4   125000  1714937519481  1714937524799
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 87.46%,72.45%,100.00%
