#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      374.7   302.0   173.5   237.4   261.0   351.8   391.8   411.2   424.9   439.3   460.2   493.3   612.3  5980.3 10662.7   5001.0     5000  1714935414959  1714935420416
read      420.9   311.8   160.7   224.6   243.5   413.4   470.2   499.9   520.6   543.5   573.2   616.6   723.6  4808.5  9953.0   9949.8    10000  1714935421922  1714935427285
read      434.6   384.3   160.7   221.8   241.1   411.1   487.0   528.7   556.8   588.6   628.9   689.9   813.3  4113.0 13038.8  15047.6    15000  1714935428789  1714935434116
read      457.4   260.1   160.7   214.7   234.8   432.8   517.1   566.4   600.6   640.2   692.3   768.4   900.6  2380.5  9763.5  20180.0    20000  1714935435620  1714935440940
read      461.0   264.3   148.8   219.1   237.8   429.4   520.6   575.0   615.0   661.6   719.6   795.7   934.4  2453.8  9322.6  24972.2    25000  1714935442442  1714935447765
read      483.7   312.2   148.8   219.3   237.6   452.6   546.8   605.5   649.1   703.0   766.0   843.7   997.9  1996.5 12080.2  29974.4    30000  1714935449269  1714935454581
read      485.0   326.2   148.8   217.8   236.2   452.1   548.3   608.1   653.8   709.8   775.9   859.0  1045.3  1934.5 12568.9  35053.8    35000  1714935456085  1714935461395
read      471.3   307.5   148.8   212.1   230.0   431.5   537.3   601.2   647.9   702.3   765.5   844.7  1006.7  1635.8 12304.0  40069.2    40000  1714935462899  1714935468206
read      488.7   306.0   148.8   217.2   235.3   453.9   561.5   621.4   668.7   728.2   796.2   878.9  1017.5  1424.9 12092.2  44938.8    45000  1714935469711  1714935475009
read      482.5   291.6   148.8   217.0   235.7   437.2   543.7   610.1   661.3   725.1   798.8   893.1  1072.4  1494.1  8144.3  49968.6    50000  1714935476513  1714935481810
read      490.2   290.1   148.8   216.8   236.9   451.0   560.4   621.1   666.7   724.3   797.3   897.7  1071.4  1437.8 12262.5  55022.3    55000  1714935483314  1714935488619
read      480.3   290.2   148.8   214.7   235.6   436.0   540.6   602.2   649.9   712.6   790.2   888.4  1064.5  1408.6 11875.3  59892.8    60000  1714935490123  1714935495423
read      475.9   262.8   148.8   218.9   239.3   428.1   528.3   592.2   643.1   708.2   788.0   891.6  1080.8  1384.9  7826.1  64843.8    65000  1714935496927  1714935502227
read      484.1   274.8   148.8   222.4   247.2   438.1   534.6   595.5   646.9   712.4   790.4   891.6  1083.3  1406.0  9876.7  69908.0    70000  1714935503731  1714935509041
read      485.4   283.4   148.8   223.9   250.4   435.7   532.2   594.3   645.8   711.3   789.9   901.2  1096.6  1354.3 12305.0  74984.2    75000  1714935510544  1714935515848
read      854.4   458.5   173.5   554.4   591.3   712.0   786.5  1125.2  1231.0  1299.2  1353.4  1425.5  1538.5  3230.2 18935.7  75012.8    80000  1714935517353  1714935522663
read      837.9   441.1   218.6   538.0   567.2   684.0   792.0  1138.4  1205.0  1252.6  1304.6  1365.2  1482.2  3326.7 17097.3  77499.4    85000  1714935524167  1714935529457
read      852.8   428.1   160.7   564.9   597.4   706.5   776.5  1141.4  1236.5  1298.0  1349.3  1416.3  1526.5  3656.2 15977.3  76860.0    90000  1714935530961  1714935536257
read      877.7   469.9   160.7   593.6   615.6   722.5   789.4  1193.6  1285.7  1333.8  1381.9  1452.6  1567.3  3832.8 19571.6  75045.0    95000  1714935537761  1714935543060
read      910.6   475.4   148.8   613.1   646.0   751.0   815.6  1194.3  1318.9  1386.4  1443.5  1505.6  1627.3  5319.0 17992.6  72422.6   100000  1714935544566  1714935549874
read      896.3   480.3   160.7   591.5   617.8   738.3   811.2  1196.3  1290.3  1348.9  1411.1  1479.8  1604.1  5666.2 16671.6  73682.8   105000  1714935551378  1714935556691
read      937.3   465.6   160.7   645.4   669.3   780.3   842.7  1070.7  1366.1  1433.3  1489.6  1567.2  1693.1  5597.9 16067.2  70445.3   110000  1714935558195  1714935563488
read      854.9   435.3   148.8   573.4   601.9   704.0   770.1  1147.9  1239.6  1299.9  1348.4  1411.3  1529.3  4045.5 15622.0  76909.2   115000  1714935564992  1714935570288
read      839.4   455.3   160.7   543.7   572.3   686.7   775.6  1135.2  1209.5  1260.9  1315.3  1372.2  1492.1  3964.8 17419.1  78458.0   120000  1714935571792  1714935577084
read      885.8   524.8   173.5   596.1   618.6   728.8   794.2  1189.3  1283.5  1337.0  1391.7  1461.7  1582.3  5899.6 19986.5  74748.2   125000  1714935578588  1714935583879
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 87.46%,59.39%,100.00%
