#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      399.0   423.5   173.5   240.5   268.5   377.4   408.0   425.9   437.2   454.0   470.8   503.8   657.6  7843.6 16488.8   4992.2     5000  1714936000456  1714936005909
read      414.0   262.2   160.7   226.0   243.7   408.3   462.4   490.6   509.0   532.6   560.2   603.1   691.4  3862.3  9860.9  10065.2    10000  1714936007417  1714936012793
read      444.9   315.5   160.7   224.4   243.4   428.7   505.0   544.9   572.8   603.6   640.6   693.4   824.4  4168.1 14523.3  14970.8    15000  1714936014297  1714936019631
read      451.7   254.5   148.8   219.6   239.4   429.7   511.6   558.5   592.1   630.8   677.3   743.6   896.9  1344.8 10429.0  19853.6    20000  1714936021135  1714936026478
read      460.6   232.1   148.8   217.1   236.3   436.4   518.5   568.0   605.6   650.2   704.7   784.3   958.2  1444.3  7914.7  24933.2    25000  1714936027983  1714936033324
read      468.9   308.8   148.8   215.0   233.0   439.2   527.1   579.4   618.9   666.1   726.0   811.6  1000.5  2319.8 12796.8  29990.8    30000  1714936034830  1714936040157
read      476.2   303.8   148.8   215.5   233.6   448.8   539.6   591.9   633.2   682.2   742.8   835.8  1039.9  2512.4 10701.9  34905.4    35000  1714936041662  1714936046967
read      478.1   344.8   160.7   216.7   234.1   440.3   538.5   597.6   641.7   694.3   762.6   864.0  1086.4  1542.0 15784.8  40027.4    40000  1714936048472  1714936053780
read      474.7   304.2   148.8   214.7   232.6   434.8   538.5   597.5   642.4   697.9   765.8   864.7  1075.0  1462.8 12440.8  44950.4    45000  1714936055284  1714936060587
read      482.8   297.9   148.8   217.7   236.9   441.6   543.6   603.9   648.6   703.7   777.8   883.7  1116.1  1585.6  9617.0  49723.2    50000  1714936062091  1714936067401
read      479.5   302.4   148.8   220.1   239.6   434.1   537.3   599.6   646.2   704.4   779.4   886.3  1105.8  1594.7  8339.4  55080.0    55000  1714936068905  1714936074209
read      470.7   280.5   148.8   219.4   238.9   424.0   522.9   584.6   631.7   688.4   762.4   871.1  1085.6  1468.5 11960.4  59954.8    60000  1714936075713  1714936081028
read      478.4   285.8   148.8   220.1   240.9   438.1   539.0   597.1   640.1   692.0   761.9   864.8  1072.4  1465.0 10567.6  64931.6    65000  1714936082532  1714936087846
read      472.6   281.6   148.8   221.3   244.1   430.6   527.9   584.7   627.5   680.7   748.3   850.6  1052.3  1416.1 11785.9  69954.6    70000  1714936089351  1714936094655
read      638.9   415.6   148.8   252.8   298.2   595.3   678.7   731.3   787.2   927.7  1143.0  1281.3  1447.8  1809.2 16102.7  74447.2    75000  1714936096159  1714936101459
read      846.6   488.1   160.7   529.8   567.7   705.4   800.6  1108.2  1199.4  1263.6  1327.1  1395.0  1531.9  4602.3 20102.7  76051.7    80000  1714936102964  1714936108267
read      859.7   495.2   160.7   555.6   590.9   713.6   793.6  1134.4  1225.3  1290.1  1347.3  1421.1  1549.7  4235.9 19103.6  76173.4    85000  1714936109771  1714936115074
read      886.2   490.2   148.8   585.3   613.5   732.3   802.1  1196.1  1284.2  1338.3  1394.8  1469.3  1598.5  4353.3 20894.3  74221.4    90000  1714936116578  1714936121893
read      864.8   498.5   160.7   583.7   608.3   706.7   765.6  1172.3  1256.7  1312.3  1357.5  1421.0  1500.0  5370.6 19817.8  76327.6    95000  1714936123396  1714936128697
read      870.2   453.9   160.7   582.8   609.3   719.7   786.6  1172.8  1262.7  1320.9  1371.5  1444.7  1563.3  3888.0 17718.5  75704.1   100000  1714936130200  1714936135501
read      871.8   429.4   160.7   578.8   606.5   720.9   794.1  1164.5  1256.2  1319.3  1375.0  1455.5  1588.1  4670.0 14527.0  75499.6   105000  1714936137004  1714936142302
read      852.0   448.8   160.7   571.3   601.0   696.5   752.1  1156.8  1239.0  1297.3  1344.2  1398.4  1492.3  3882.1 17828.4  77255.2   110000  1714936143806  1714936149107
read      876.6   474.3   160.7   598.4   619.2   717.7   780.4  1201.9  1288.2  1331.1  1374.1  1441.5  1539.5  4025.9 19125.7  75268.3   115000  1714936150610  1714936155911
read      868.0   454.4   173.5   577.3   606.4   715.7   783.9  1168.0  1256.8  1316.1  1366.6  1440.1  1561.7  4058.4 17695.6  75951.4   120000  1714936157415  1714936162712
read      876.8   460.8   160.7   589.1   613.1   721.5   790.6  1186.7  1276.0  1328.3  1377.2  1449.8  1572.6  4043.6 17445.9  75161.2   125000  1714936164215  1714936169517
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 87.38%,72.14%,100.00%
