#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      374.2   395.5   160.7   233.9   258.1   350.6   381.3   397.6   409.5   424.8   443.0   473.5   622.4  5733.0 13824.7   4963.0     5000  1714935226969  1714935232403
read      397.1   348.6   160.7   222.2   238.8   382.6   437.7   465.4   484.9   505.9   534.0   575.5   666.4  4850.5 11947.3  10026.6    10000  1714935233909  1714935239265
read      429.6   237.2   160.7   222.6   242.3   406.8   479.5   519.3   547.7   582.2   623.6   685.4   849.4  2631.2  8083.9  14917.1    15000  1714935240769  1714935246099
read      447.6   334.3   148.8   218.6   239.2   418.1   497.5   545.7   581.7   622.0   670.7   742.0   894.4  2358.1 11940.8  20041.2    20000  1714935247604  1714935252925
read      462.8   274.4   160.7   217.4   236.3   431.1   519.5   575.1   616.0   662.5   719.4   799.4   948.3  3538.9  9937.8  24979.8    25000  1714935254430  1714935259759
read      474.0   302.7   160.7   215.0   233.1   430.7   535.3   597.7   641.6   693.1   757.6   848.7  1033.7  1828.2  9877.3  29978.6    30000  1714935261264  1714935266571
read      461.1   278.1   148.8   210.3   228.5   419.1   522.4   588.9   634.5   684.8   744.7   829.9  1002.1  1282.5 10572.1  34996.6    35000  1714935268075  1714935273393
read      490.3   298.4   148.8   214.2   233.5   450.4   563.6   626.2   674.2   730.3   797.1   881.8  1073.9  1499.7 12194.4  40096.8    40000  1714935274897  1714935280198
read      482.7   308.1   148.8   213.8   232.9   436.7   550.7   615.1   662.4   719.9   790.1   882.3  1080.6  1608.2 11280.7  45063.4    45000  1714935281702  1714935287016
read      468.5   294.1   148.8   212.6   230.4   415.3   523.9   594.4   646.5   710.0   784.2   875.8  1069.0  1385.9  9581.5  49915.6    50000  1714935288520  1714935293816
read      487.8   297.3   148.8   217.3   236.7   438.9   552.9   618.6   666.7   726.7   803.4   908.6  1091.9  1600.1 10128.0  54963.4    55000  1714935295321  1714935300617
read      488.8   275.4   148.8   219.4   240.3   442.1   552.4   617.8   666.6   725.8   801.2   907.5  1086.8  1452.9  9937.6  59814.2    60000  1714935302121  1714935307422
read      482.0   282.7   148.8   219.9   241.8   433.7   542.9   607.7   656.2   714.3   785.4   883.2  1065.5  1375.6 10546.5  64990.6    65000  1714935308927  1714935314229
read      548.0   310.7   160.7   241.1   275.9   498.4   608.3   676.7   732.8   801.3   887.6  1009.5  1240.5  1553.1 12096.5  69979.0    70000  1714935315734  1714935321034
read      626.6   373.6   160.7   269.9   317.0   569.7   669.6   741.6   817.4   926.3  1055.7  1197.7  1373.6  1836.1 14802.2  74826.1    75000  1714935322538  1714935327838
read      833.1   435.9   160.7   523.2   562.1   693.6   782.5  1100.2  1192.3  1255.1  1318.9  1383.6  1494.8  3791.0 15958.1  76360.4    80000  1714935329342  1714935334645
read      938.1   497.5   148.8   634.1   663.1   779.9   844.4  1191.6  1359.3  1431.3  1490.9  1568.1  1693.7  5380.8 18148.7  70254.6    85000  1714935336150  1714935341454
read      838.5   426.7   202.4   537.3   567.5   687.1   788.7  1126.7  1200.8  1253.3  1309.3  1369.9  1487.7  4035.2 15059.7  78161.6    90000  1714935342959  1714935348269
read      913.5   509.4   160.7   606.5   642.4   759.7   828.6  1148.3  1310.1  1382.6  1445.2  1518.8  1653.5  7605.7 18060.2  72357.2    95000  1714935349773  1714935355071
read      923.1   502.3   160.7   623.6   654.2   764.9   823.8  1190.7  1337.0  1408.6  1463.6  1537.4  1639.2  6318.0 18446.7  71596.4   100000  1714935356575  1714935361876
read      905.8   457.0   173.5   607.2   640.7   748.6   808.5  1195.0  1312.4  1378.8  1436.8  1493.7  1609.1  5161.3 15678.2  72807.5   105000  1714935363380  1714935368701
read      923.1   463.8   173.5   632.8   659.6   770.4   826.4  1006.1  1336.6  1413.8  1471.1  1547.7  1651.3  5291.6 15880.9  71505.8   110000  1714935370204  1714935375504
read      891.2   459.8   173.5   595.7   619.5   732.3   801.2  1202.5  1291.5  1345.3  1402.1  1468.3  1591.6  4861.8 16204.7  74066.2   115000  1714935377008  1714935382314
read      894.1   438.1   218.6   604.9   633.9   739.0   801.8  1184.3  1302.9  1360.2  1419.6  1480.9  1604.0  4344.2 14707.5  73688.9   120000  1714935383819  1714935389120
read      883.3   459.9   187.4   583.7   612.0   729.3   799.6  1190.6  1282.1  1335.4  1388.6  1459.4  1579.8  4381.1 17474.9  74679.8   125000  1714935390624  1714935395931
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 87.51%,61.50%,100.00%
