#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      411.6   355.9   173.5   250.9   273.3   392.0   430.2   451.6   466.0   484.2   505.2   542.3   746.5  4993.0 12834.9   5014.8     5000  1714936584503  1714936589933
read      451.8   333.7   160.7   236.1   255.9   428.3   495.1   528.5   550.2   577.0   610.1   667.0  1138.0  5246.3 12915.8  10000.0    10000  1714936591439  1714936596813
read      465.9   294.5   160.7   226.7   247.8   448.4   537.3   582.9   612.0   641.4   680.4   735.5   872.2  4037.2 12242.9  15034.0    15000  1714936598319  1714936603643
read      473.4   395.5   160.7   219.1   236.9   444.5   540.1   593.0   629.4   669.5   715.9   781.9   944.0  4518.2 15926.4  19993.8    20000  1714936605148  1714936610472
read      471.1   274.4   160.7   215.1   233.0   439.7   543.7   608.7   652.2   697.3   743.1   806.9   980.6  1376.4 12292.0  25129.2    25000  1714936611976  1714936617302
read      485.5   318.8   148.8   214.6   230.3   424.2   551.9   635.4   688.7   743.7   807.9   918.1  1237.1  2161.4 11738.9  29976.8    30000  1714936618805  1714936624128
read      471.9   316.3   160.7   213.1   228.6   394.7   524.7   615.9   682.1   744.9   814.3   927.3  1231.7  1602.3 10999.5  34898.4    35000  1714936625632  1714936630936
read      472.7   325.7   160.7   210.0   225.1   383.0   521.6   613.4   685.5   756.2   836.8   965.6  1318.9  2269.6 12369.9  39977.5    40000  1714936632440  1714936637738
read      487.5   360.2   148.8   213.7   229.1   363.7   493.3   599.1   697.1   802.5   925.5  1152.3  1521.6  1980.1 11519.6  44992.2    45000  1714936639242  1714936644546
read      480.5   354.5   160.7   214.7   229.4   351.2   465.9   573.5   677.6   796.9   933.0  1177.1  1554.5  2151.6  8724.3  49825.0    50000  1714936646050  1714936651340
read      474.9   353.2   148.8   212.7   227.7   346.5   444.7   541.7   641.0   770.9   928.5  1214.2  1672.9  2132.6  7973.5  54944.4    55000  1714936652843  1714936658146
read      477.7   367.4   160.7   216.1   231.6   351.6   454.7   543.3   626.7   745.9   921.0  1215.4  1652.0  2225.5 11960.8  59932.2    60000  1714936659650  1714936664957
read      477.6   373.2   148.8   214.0   230.5   350.0   447.3   533.0   619.6   758.1   939.0  1238.6  1668.7  2240.7  9043.7  64954.6    65000  1714936666461  1714936671768
read      501.3   455.3   148.8   221.1   238.6   354.1   438.1   520.0   613.9   788.5  1040.0  1371.1  1883.7  2574.7 15484.9  69972.2    70000  1714936673273  1714936678585
read      563.5   504.0   160.7   226.9   246.9   383.9   500.6   631.7   770.2   961.5  1166.0  1551.5  2150.1  3308.9 15119.2  74831.0    75000  1714936680089  1714936685389
read      913.2  1217.2   160.7   293.6   328.1   485.4   803.3  1501.0  1587.8  1690.3  1818.6  2013.0  2984.5 12324.0 37076.4  72196.0    80000  1714936686893  1714936692209
read      881.5  1297.1   148.8   288.4   334.6   455.6   633.6  1434.0  1555.4  1652.5  1765.3  1934.4  2919.9 14352.7 35739.6  75846.8    85000  1714936693713  1714936699023
read      872.6  1302.7   160.7   283.9   330.6   455.2   626.4  1401.5  1539.4  1639.3  1737.5  1897.5  2922.1 17704.7 35496.1  77048.8    90000  1714936700527  1714936705842
read      909.9  1109.8   160.7   277.5   328.1   501.1   955.5  1510.6  1603.3  1694.4  1798.1  1955.1  2868.4 12743.0 36349.6  73102.6    95000  1714936707347  1714936712660
read      902.8  1359.9   160.7   291.2   330.1   470.0   682.1  1464.8  1570.8  1669.9  1785.9  1952.2  2916.6 16128.9 36602.4  74619.0   100000  1714936714166  1714936719483
read      880.0  1320.7   160.7   291.0   327.2   457.0   655.9  1413.9  1543.1  1642.4  1760.4  1931.6  2926.9 15028.6 37223.4  76382.8   105000  1714936720988  1714936726309
read      871.4  1318.8   160.7   290.8   330.7   450.6   616.3  1414.8  1542.2  1637.0  1744.4  1906.7  2883.5 17088.2 36220.4  77077.8   110000  1714936727814  1714936733120
read      899.2  1381.9   160.7   283.5   329.1   468.9   659.1  1443.5  1563.5  1662.9  1773.4  1943.6  2939.2 17278.7 37295.7  74972.4   115000  1714936734624  1714936739931
read      900.2  1367.2   160.7   277.1   331.9   470.6   664.4  1450.1  1565.0  1660.1  1768.7  1933.9  2922.6 17035.1 37247.4  74846.4   120000  1714936741436  1714936746737
read      921.9  1409.4   148.8   286.1   330.0   488.7   736.4  1467.3  1576.1  1677.6  1794.7  1969.8  2933.9 20385.7 37103.2  73122.0   125000  1714936748241  1714936753545
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 87.42%,69.70%,100.00%
