#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      409.4   606.6   173.5   247.5   270.4   374.2   403.3   420.9   432.1   447.5   465.9   500.0  1244.9  8106.8 21741.4   4961.2     5000  1714937167826  1714937173249
read      416.8   328.5   160.7   234.2   253.4   416.1   463.1   485.1   499.3   515.7   537.8   572.2   665.8  4289.8 12905.9  10062.0    10000  1714937174755  1714937180139
read      410.7   226.5   160.7   224.1   241.5   414.8   480.3   507.3   525.3   543.5   568.4   601.3   679.4  1630.5 10137.1  14915.6    15000  1714937181645  1714937186981
read      416.6   259.6   160.7   217.9   234.6   399.1   496.7   532.9   555.1   578.9   606.7   642.1   733.0  1692.0 13308.8  19914.0    20000  1714937188486  1714937193820
read      404.0   223.8   160.7   212.4   228.2   366.3   478.7   525.8   552.9   580.4   612.1   653.4   739.4  1357.6  9427.6  24937.8    25000  1714937195325  1714937200665
read      407.8   237.2   160.7   209.4   225.2   366.1   479.3   532.9   565.0   596.5   630.4   676.7   763.4  1177.3 10261.9  29934.6    30000  1714937202169  1714937207480
read      401.7   202.5   148.8   207.5   222.7   355.7   464.2   526.3   564.0   601.4   639.3   686.9   777.2  1162.6  6189.2  35136.4    35000  1714937208984  1714937214294
read      396.2   219.8   160.7   207.6   222.4   349.3   446.1   509.6   550.6   592.1   634.7   685.3   774.7  1465.7  8929.6  40018.4    40000  1714937215799  1714937221100
read      371.0   189.4   160.7   203.7   217.0   332.8   411.9   464.4   502.5   542.9   585.7   634.9   719.5  1193.2  6182.2  45165.4    45000  1714937222604  1714937227918
read      382.6   200.1   148.8   206.9   221.2   343.5   429.6   479.2   516.9   559.3   604.4   659.1   743.6  1084.4  7956.4  49882.4    50000  1714937229424  1714937234741
read      370.8   176.2   148.8   205.1   219.1   334.5   411.9   460.1   496.1   537.0   583.1   637.5   728.4  1176.7  6647.2  54959.4    55000  1714937236245  1714937241550
read      366.5   184.5   148.8   206.2   220.3   327.8   400.0   447.1   483.2   525.9   575.6   634.5   735.4  1302.3  8069.9  60066.8    60000  1714937243055  1714937248353
read      369.5   197.7   148.8   206.5   220.6   332.0   406.0   452.1   486.4   526.7   574.4   635.0   737.7  1421.7  8083.8  65120.6    65000  1714937249856  1714937255161
read      367.7   189.1   148.8   207.8   222.0   331.7   404.2   448.2   480.4   518.9   566.8   629.7   733.5  1359.1  7953.7  69999.2    70000  1714937256665  1714937261971
read      352.4   176.0   148.8   205.5   218.9   318.1   381.8   421.4   452.2   489.4   535.9   599.6   697.5  1750.0  7349.4  74703.0    75000  1714937263475  1714937268773
read      366.0   178.7   160.7   208.6   222.9   334.6   404.3   444.6   473.9   508.8   552.9   617.1   729.4  1214.2  5929.1  79928.8    80000  1714937270277  1714937275576
read      355.6   204.5   148.8   207.0   220.7   322.8   386.8   425.2   454.3   489.3   533.6   597.0   715.7  1522.3  8040.7  84897.0    85000  1714937277079  1714937282381
read      356.9   179.8   148.8   208.7   222.6   324.3   388.3   426.1   454.8   489.1   533.0   595.4   724.4  1602.4  7714.5  89891.6    90000  1714937283885  1714937289188
read      357.8   183.1   148.8   209.2   223.3   328.8   390.3   426.8   454.2   486.4   527.6   588.0   715.1  1670.9  7574.0  95123.0    95000  1714937290693  1714937295991
read      372.7   176.6   160.7   215.4   230.9   347.0   409.3   445.7   471.5   503.1   543.1   606.3   746.4  1166.7  7567.0 100162.8   100000  1714937297496  1714937302786
read      379.4   194.4   148.8   218.6   235.6   354.8   414.1   449.4   474.8   506.3   547.9   617.6   769.7  1127.2  8006.3 105020.2   105000  1714937304289  1714937309597
read      381.3   175.9   148.8   219.2   238.5   358.8   416.0   450.0   474.7   506.2   548.2   618.3   759.0  1011.5  7888.9 110070.4   110000  1714937311101  1714937316403
read      518.9   245.7   148.8   281.6   316.3   489.9   584.4   634.0   668.6   706.8   751.9   819.4   941.7  1276.7  9135.9 114240.6   115000  1714937317906  1714937323207
read      523.2   207.6   160.7   286.9   318.5   509.0   599.3   641.3   671.3   703.7   742.8   799.7   910.2  1138.7  7640.5 117432.3   120000  1714937324711  1714937330013
read      531.9   219.8   160.7   288.1   317.8   535.6   618.7   655.6   680.2   708.7   741.7   794.5   903.7  1149.9  8159.1 119203.4   125000  1714937331518  1714937336827
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 87.52%,65.50%,100.00%
