#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      365.0   499.4   173.5   235.5   258.1   328.5   352.4   365.7   374.0   388.1   402.8   436.9  1301.5  8808.7 19752.6   4979.0     5000  1714936980510  1714936985968
read      372.3   312.8   160.7   223.9   240.4   364.7   403.1   422.6   434.9   451.1   468.1   498.6   582.9  4113.1 15669.9   9992.4    10000  1714936987473  1714936992858
read      374.8   325.8   160.7   221.2   236.6   363.9   420.5   445.9   461.3   478.3   498.9   530.8   611.6  2665.6 18291.0  14930.4    15000  1714936994362  1714936999687
read      375.6   219.7   160.7   215.4   230.5   358.6   430.3   462.2   482.5   503.2   529.4   566.3   655.8  1450.7  9142.3  19992.0    20000  1714937001191  1714937006525
read      378.0   242.1   160.7   208.8   224.3   355.7   432.8   469.8   492.6   516.3   542.9   583.7   685.6  1958.3 11318.4  25232.6    25000  1714937008029  1714937013370
read      368.8   203.9   148.8   205.1   219.3   341.3   419.7   461.8   488.4   515.4   544.4   587.1   685.6  1129.8  8960.2  30066.8    30000  1714937014873  1714937020193
read      367.4   223.6   148.8   203.1   216.4   335.3   412.4   457.0   486.7   517.7   550.3   596.5   709.7  1352.7  8637.1  34941.0    35000  1714937021697  1714937027016
read      369.4   262.8   148.8   203.5   217.2   338.6   411.6   456.1   486.3   518.3   553.8   605.8   728.8  1426.0 10237.8  40120.2    40000  1714937028519  1714937033841
read      369.4   209.6   148.8   202.4   215.7   341.7   413.2   455.7   485.5   517.6   554.5   610.1   737.1  1341.3  8829.9  44986.8    45000  1714937035345  1714937040659
read      370.1   173.7   148.8   204.3   218.0   345.8   416.7   457.1   486.2   518.9   555.7   608.7   721.9  1391.0  5996.0  49943.6    50000  1714937042162  1714937047464
read      368.9   196.6   148.8   203.9   218.0   344.2   415.1   454.7   483.3   515.2   552.2   605.3   714.8  1267.3  8494.2  54911.8    55000  1714937048968  1714937054270
read      360.0   171.9   148.8   203.8   217.1   333.3   399.6   437.8   466.9   500.8   541.7   597.8   707.1  1452.8  4673.5  59868.6    60000  1714937055774  1714937061071
read      367.8   187.8   148.8   202.8   216.4   337.3   410.4   452.3   481.8   515.6   557.5   619.1   744.1  1550.7  7459.8  65096.1    65000  1714937062576  1714937067879
read      363.8   187.4   148.8   203.7   216.7   329.4   401.0   443.8   474.6   509.7   552.8   619.2   767.9  1626.3  7826.9  69900.0    70000  1714937069383  1714937074689
read      364.9   163.0   148.8   202.5   216.4   337.9   408.1   447.3   475.0   507.6   548.2   610.7   737.2  1470.5  4333.9  75115.4    75000  1714937076193  1714937081497
read      367.7   194.8   148.8   204.7   219.1   337.3   409.1   449.8   478.5   511.0   550.7   612.5   739.0  1673.7  8376.9  79967.0    80000  1714937083001  1714937088309
read      356.1   172.7   148.8   204.5   217.7   327.0   393.7   431.7   459.9   492.6   532.9   590.3   701.3  1732.1  4576.8  84814.4    85000  1714937089813  1714937095109
read      358.3   201.3   148.8   206.0   219.8   325.9   391.2   429.3   458.2   492.5   536.1   603.5   756.4  1407.3  7739.7  89864.5    90000  1714937096613  1714937101917
read      364.3   208.8   148.8   207.3   222.2   335.5   398.7   435.6   462.9   495.0   535.4   594.5   737.5  1830.8  7748.7  94748.3    95000  1714937103421  1714937108728
read      362.6   183.5   148.8   212.0   227.4   336.9   396.1   431.1   457.5   488.6   528.3   587.5   715.0  1315.8  7857.5 100276.8   100000  1714937110232  1714937115545
read      355.5   188.0   148.8   212.8   227.6   331.3   387.3   420.5   445.1   473.7   511.3   570.7   686.7  1020.3  5355.4 104965.6   105000  1714937117049  1714937122351
read      445.5   205.7   148.8   236.0   261.2   411.5   485.5   532.2   569.0   615.1   676.0   768.7   937.0  1186.1  6874.9 109991.0   110000  1714937123856  1714937129160
read      372.2   180.0   148.8   221.1   238.7   350.3   403.7   436.0   461.1   491.2   530.2   589.8   720.4  1014.6  7904.4 115130.2   115000  1714937130665  1714937135963
read      433.2   212.2   148.8   231.2   255.2   397.1   475.7   526.6   564.2   607.6   660.8   736.2   873.7  1086.2  8122.2 119179.9   120000  1714937137467  1714937142770
read      517.3   205.5   160.7   284.4   316.3   512.0   591.9   629.6   655.8   684.9   723.4   778.9   882.3  1099.9  7733.9 120986.2   125000  1714937144275  1714937149582
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 87.50%,73.00%,100.00%
