#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      371.2   802.3   160.7   226.9   241.4   329.4   387.1   426.1   456.4   491.2   533.2   593.2   739.0  2477.9 14527.0  29964.2    30000  1714550943898  1714550954080
read      392.6   294.9   173.5   230.6   245.4   342.1   405.1   447.2   477.5   514.4   563.2   642.0   952.3  3896.1  9021.2  30029.7    30005  1714550955587  1714550965723
read      413.1   518.7   173.5   231.1   246.8   353.0   422.7   464.9   495.3   530.3   575.0   644.3   923.4  8076.7 19493.9  29939.2    30010  1714550967230  1714550977340
read      411.0   556.0   173.5   228.2   242.9   341.2   407.4   450.7   481.7   516.9   561.3   631.0   936.8  8993.7 20056.1  29978.1    30015  1714550978846  1714550988954
read      389.4   443.3   173.5   224.1   238.0   329.4   391.1   432.4   464.1   500.8   545.8   617.8   862.0  7365.4 16024.6  29965.1    30020  1714550990462  1714551000573
read      385.9   358.0   173.5   224.3   238.5   335.0   399.5   441.2   471.1   506.4   548.4   616.0   802.1  5633.0 15052.2  30023.0    30025  1714551002080  1714551012195
read      425.3   373.8   173.5   234.1   251.7   376.3   450.5   492.3   522.1   556.4   603.2   687.7   958.4  5197.6 15320.5  30031.9    30030  1714551013702  1714551023824
read      381.3   362.1   160.7   223.7   237.5   329.5   391.0   432.2   463.7   499.8   544.1   611.0   802.2  5389.6 12464.3  29966.4    30035  1714551025332  1714551035448
read      394.4   325.0   160.7   227.5   242.3   344.9   412.9   454.3   484.6   520.2   564.9   635.9   863.6  4436.4 12349.2  30068.0    30040  1714551036956  1714551047080
read      390.0   394.7   160.7   227.1   241.6   336.8   398.5   438.4   468.3   503.2   545.8   615.0   828.9  7093.8 15300.8  30087.0    30045  1714551048588  1714551058703
read      419.6   490.6   173.5   232.6   248.3   355.2   426.0   470.5   503.6   541.6   589.0   669.5   977.1  7600.3 19296.5  30109.3    30050  1714551060212  1714551070328
read      389.7   267.1   173.5   232.7   248.3   347.3   411.9   453.4   483.5   518.0   560.2   628.0   812.0  3559.3 10468.6  30108.9    30055  1714551071836  1714551081954
read      380.3   259.1   160.7   228.1   243.5   339.3   401.2   442.8   473.0   508.1   550.5   616.8   778.3  3364.7 10740.4  30087.4    30060  1714551083463  1714551093576
read      385.8   229.4   173.5   231.0   247.0   349.7   413.9   454.1   483.6   517.5   559.0   623.6   783.9  1705.2  8138.8  30025.4    30065  1714551095085  1714551105214
read      378.6   210.4   173.5   230.0   245.3   341.6   404.0   446.3   476.5   510.9   552.2   616.9   759.3  1677.2  8029.0  30114.3    30070  1714551106722  1714551116838
read      376.9   255.7   173.5   229.2   244.0   337.3   397.7   438.0   468.5   503.4   545.2   609.5   766.4  2621.1 10243.3  30114.7    30075  1714551118346  1714551128457
