#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      395.6  1103.1   173.5   231.0   247.8   354.3   419.5   459.8   489.6   523.9   565.5   628.9   799.9  1881.8 12333.2  30044.7    30000  1714550698265  1714550708439
read      375.8   306.0   173.5   229.6   243.3   326.6   380.1   417.1   447.4   484.7   532.4   607.1   866.5  4109.0 11965.6  29952.2    30005  1714550709949  1714550720089
read      414.8   610.5   173.5   229.7   245.2   349.0   418.7   462.2   493.8   530.3   576.2   647.2  1002.2  7643.5 19441.2  30029.9    30010  1714550721596  1714550731711
read      413.9   806.9   173.5   228.4   243.1   339.8   404.3   446.5   477.0   513.6   559.3   629.9   945.1 10650.0 24265.4  30057.2    30015  1714550733220  1714550743332
read      391.4   534.7   173.5   227.8   242.5   340.8   403.2   443.0   472.0   506.1   547.6   616.7   829.2  5685.1 13910.0  30020.1    30020  1714550744839  1714550754952
read      369.3   777.7   173.5   221.8   234.1   312.7   363.7   398.1   426.0   459.1   499.3   559.3   762.6  6318.1 15994.1  29956.2    30025  1714550756461  1714550766575
read      381.3   632.3   160.7   224.8   238.7   330.0   391.1   431.4   462.4   498.3   542.2   611.1   798.0  4314.9 12828.9  30089.7    30030  1714550768082  1714550778193
read      364.7   511.8   160.7   221.9   234.1   313.3   364.6   399.8   428.7   463.5   505.8   569.6   746.4  4364.3 12897.2  30097.3    30035  1714550779700  1714550789815
read      397.6   660.2   173.5   229.1   244.0   345.1   410.7   452.3   482.0   516.2   560.5   631.3   844.4  5038.5 16940.6  30063.7    30040  1714550791323  1714550801439
read      392.7   924.4   173.5   226.5   241.0   338.9   403.3   445.2   474.9   509.0   551.3   619.6   829.3  5487.5 16120.1  29992.8    30045  1714550802947  1714550813060
read      382.9   393.8   173.5   224.1   237.5   326.1   385.8   425.0   455.5   491.5   536.6   604.7   853.1  5661.5 14501.7  30038.5    30050  1714550814567  1714550824681
read      389.7   271.5   173.5   231.8   247.0   345.9   410.3   452.6   483.4   518.7   562.3   629.3   828.2  3800.9 10519.1  30053.2    30055  1714550826189  1714550836302
read      380.8   211.4   160.7   230.4   246.1   344.3   406.2   448.2   478.5   512.8   553.9   618.2   767.3  1640.2  8350.7  30076.1    30060  1714550837809  1714550847924
read      382.4   235.9   160.7   228.2   244.3   345.4   408.5   450.0   479.7   513.7   555.0   620.3   778.1  1850.3 10026.5  30087.3    30065  1714550849432  1714550859554
read      385.7   223.7   173.5   227.3   244.0   351.1   418.0   458.2   487.0   519.4   558.2   619.2   782.7  1952.0  8061.2  30080.6    30070  1714550861062  1714550871182
read      379.8   250.6   173.5   226.4   241.9   342.8   407.5   448.4   477.0   509.7   549.9   614.4   775.3  1645.1 10243.7  30073.3    30075  1714550872691  1714550882800
